condition_id,model,param,N_valid,N_truth_avail,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat
1,NG,mu[1],200,200,-0.00413001894474852,-0.00413001894474852,0.935,0.15089010145409354,0.15843791579926228,-0.007547814345168741,0,0,1.0009948452522237
1,NG,mu[2],200,200,-0.0014761125472582024,-0.0014761125472582024,0.925,0.1510592632886061,0.1788894484574529,-0.027830185168846777,0,0,1.0009948452522237
1,NG,phi11,200,200,-0.07726821819269479,-0.19317054548173695,0.955,0.1406704192724922,0.11865820274313,0.02201221652936218,0,0,1.0009948452522237
1,NG,phi12,200,200,-0.010846427734703045,-0.10846427734703044,0.965,0.14172573995750434,0.132989775484937,0.008735964472567331,0,0,1.0009948452522237
1,NG,phi21,200,200,-0.006687344826765061,-0.06687344826765061,0.945,0.14158400239914287,0.14292787063568788,-0.0013438682365450039,0,0,1.0009948452522237
1,NG,phi22,200,200,-0.085454950958107,-0.21363737739526747,0.9,0.14076173298189334,0.1363347411034142,0.004426991878479142,0,0,1.0009948452522237
1,NG,rho,200,200,-0.03727984691684487,-0.1242661563894829,0.925,0.12742212928402924,0.1282274884540259,-8.053591699966611e-4,0,0,1.0009948452522237
1,NG,sigma[1],200,200,0.01237673783599464,0.01237673783599464,0.905,0.10627586629331576,0.11867890054105627,-0.012403034247740516,0,0,1.0009948452522237
1,NG,sigma[2],200,200,0.011803866725874395,0.011803866725874395,0.9,0.10606871579651125,0.12079312724592396,-0.014724411449412708,0,0,1.0009948452522237
1,SG,alpha[1],200,200,-2.781274631304329,-0.6953186578260823,0.515,2.3952071070675895,1.6791398098097012,0.7160672972578883,0.385,0.165,1.0027410915088253
1,SG,alpha[2],200,200,-3.057351283047924,-0.764337820761981,0.425,2.0426867989724133,1.292894636596019,0.7497921623763943,0.385,0.165,1.0027410915088253
