"condition_id","rep_id","margin_type","true_rho","tau_empirical","tau_expected","status"
1,141,"skewnormal",0.3,0.421768707482993,0.193973368041357,"ok"
1,164,"skewnormal",0.3,0.243197278911565,0.193973368041357,"ok"
1,154,"skewnormal",0.3,0.032312925170068,0.193973368041357,"ok"
1,193,"skewnormal",0.3,0.173469387755102,0.193973368041357,"ok"
1,23,"skewnormal",0.3,0.365646258503401,0.193973368041357,"ok"
2,187,"skewnormal",0.3,0.200680272108844,0.193973368041357,"ok"
2,10,"skewnormal",0.3,0.238095238095238,0.193973368041357,"ok"
2,113,"skewnormal",0.3,0.23469387755102,0.193973368041357,"ok"
2,132,"skewnormal",0.3,0.181972789115646,0.193973368041357,"ok"
2,27,"skewnormal",0.3,0.20578231292517,0.193973368041357,"ok"
3,123,"chisq",0.3,-0.0136054421768707,0.193973368041357,"sign_error"
3,117,"chisq",0.3,0.180272108843537,0.193973368041357,"ok"
3,151,"chisq",0.3,0.306122448979592,0.193973368041357,"ok"
3,59,"chisq",0.3,0.26530612244898,0.193973368041357,"ok"
3,139,"chisq",0.3,0.210884353741497,0.193973368041357,"ok"
4,159,"skewnormal",0.3,0.362244897959184,0.193973368041357,"ok"
4,142,"skewnormal",0.3,0.256802721088435,0.193973368041357,"ok"
4,37,"skewnormal",0.3,0.273809523809524,0.193973368041357,"ok"
4,32,"skewnormal",0.3,0.289115646258503,0.193973368041357,"ok"
4,63,"skewnormal",0.3,0.153061224489796,0.193973368041357,"ok"
5,29,"skewnormal",0.3,0.0969387755102041,0.193973368041357,"ok"
5,33,"skewnormal",0.3,0.268707482993197,0.193973368041357,"ok"
5,89,"skewnormal",0.3,0.229591836734694,0.193973368041357,"ok"
5,118,"skewnormal",0.3,0.243197278911565,0.193973368041357,"ok"
5,88,"skewnormal",0.3,0.149659863945578,0.193973368041357,"ok"
6,195,"chisq",0.3,0.149659863945578,0.193973368041357,"ok"
6,174,"chisq",0.3,0.134353741496599,0.193973368041357,"ok"
6,172,"chisq",0.3,0.107142857142857,0.193973368041357,"ok"
6,115,"chisq",0.3,0.312925170068027,0.193973368041357,"ok"
6,50,"chisq",0.3,0.0748299319727891,0.193973368041357,"ok"
7,59,"skewnormal",0.3,0.212585034013605,0.193973368041357,"ok"
7,61,"skewnormal",0.3,0.159863945578231,0.193973368041357,"ok"
7,16,"skewnormal",0.3,0.287414965986395,0.193973368041357,"ok"
7,195,"skewnormal",0.3,0.299319727891156,0.193973368041357,"ok"
7,69,"skewnormal",0.3,0.284013605442177,0.193973368041357,"ok"
8,52,"skewnormal",0.3,0.151360544217687,0.193973368041357,"ok"
8,186,"skewnormal",0.3,0.170068027210884,0.193973368041357,"ok"
8,144,"skewnormal",0.3,0.00850340136054422,0.193973368041357,"ok"
8,114,"skewnormal",0.3,0.193877551020408,0.193973368041357,"ok"
8,49,"skewnormal",0.3,0.0510204081632653,0.193973368041357,"ok"
9,195,"chisq",0.3,0.197278911564626,0.193973368041357,"ok"
9,143,"chisq",0.3,0.316326530612245,0.193973368041357,"ok"
9,50,"chisq",0.3,0.244897959183673,0.193973368041357,"ok"
9,114,"chisq",0.3,0.159863945578231,0.193973368041357,"ok"
9,185,"chisq",0.3,0.0493197278911565,0.193973368041357,"ok"
10,107,"skewnormal",0.3,0.203463203463203,0.193973368041357,"ok"
10,177,"skewnormal",0.3,0.175427746856318,0.193973368041357,"ok"
10,46,"skewnormal",0.3,0.119356833642548,0.193973368041357,"ok"
10,196,"skewnormal",0.3,0.158936301793445,0.193973368041357,"ok"
10,24,"skewnormal",0.3,0.126365697794269,0.193973368041357,"ok"
11,20,"skewnormal",0.3,0.161822304679448,0.193973368041357,"ok"
11,11,"skewnormal",0.3,0.158936301793445,0.193973368041357,"ok"
11,51,"skewnormal",0.3,0.147804576376005,0.193973368041357,"ok"
11,169,"skewnormal",0.3,0.192331478045764,0.193973368041357,"ok"
11,27,"skewnormal",0.3,0.126365697794269,0.193973368041357,"ok"
12,144,"chisq",0.3,0.264481550195836,0.193973368041357,"ok"
12,48,"chisq",0.3,0.108225108225108,0.193973368041357,"ok"
12,82,"chisq",0.3,0.0476190476190476,0.193973368041357,"ok"
12,145,"chisq",0.3,0.183261183261183,0.193973368041357,"ok"
12,81,"chisq",0.3,0.252937538651824,0.193973368041357,"ok"
13,153,"skewnormal",0.3,0.117295403009689,0.193973368041357,"ok"
13,38,"skewnormal",0.3,0.17584003298289,0.193973368041357,"ok"
13,184,"skewnormal",0.3,0.227788084930942,0.193973368041357,"ok"
13,176,"skewnormal",0.3,0.156874871160585,0.193973368041357,"ok"
13,4,"skewnormal",0.3,0.240156668728097,0.193973368041357,"ok"
14,152,"skewnormal",0.3,0.339105339105339,0.193973368041357,"ok"
14,5,"skewnormal",0.3,0.233147804576376,0.193973368041357,"ok"
14,157,"skewnormal",0.3,0.250876108018965,0.193973368041357,"ok"
14,69,"skewnormal",0.3,0.257472686044115,0.193973368041357,"ok"
14,80,"skewnormal",0.3,0.178313749742321,0.193973368041357,"ok"
15,107,"chisq",0.3,0.197278911564626,0.193973368041357,"ok"
15,41,"chisq",0.3,0.239744382601525,0.193973368041357,"ok"
15,182,"chisq",0.3,0.26530612244898,0.193973368041357,"ok"
15,24,"chisq",0.3,0.278086992372707,0.193973368041357,"ok"
15,87,"chisq",0.3,0.121005978148835,0.193973368041357,"ok"
16,104,"skewnormal",0.3,0.235209235209235,0.193973368041357,"ok"
16,15,"skewnormal",0.3,0.308596165739023,0.193973368041357,"ok"
16,52,"skewnormal",0.3,0.221191506905793,0.193973368041357,"ok"
16,12,"skewnormal",0.3,0.209647495361781,0.193973368041357,"ok"
16,131,"skewnormal",0.3,0.342815914244486,0.193973368041357,"ok"
17,44,"skewnormal",0.3,0.179550608122037,0.193973368041357,"ok"
17,8,"skewnormal",0.3,0.193568336425479,0.193973368041357,"ok"
17,136,"skewnormal",0.3,0.185734900020614,0.193973368041357,"ok"
17,23,"skewnormal",0.3,0.140383426097712,0.193973368041357,"ok"
17,199,"skewnormal",0.3,0.205112347969491,0.193973368041357,"ok"
18,130,"chisq",0.3,0.242630385487528,0.193973368041357,"ok"
18,154,"chisq",0.3,0.229849515563801,0.193973368041357,"ok"
18,13,"chisq",0.3,0.242218099360957,0.193973368041357,"ok"
18,16,"chisq",0.3,0.236033807462379,0.193973368041357,"ok"
18,105,"chisq",0.3,0.220779220779221,0.193973368041357,"ok"
19,49,"skewnormal",0.3,0.233338409217806,0.193973368041357,"ok"
19,175,"skewnormal",0.3,0.161565402771433,0.193973368041357,"ok"
19,196,"skewnormal",0.3,0.18501598903609,0.193973368041357,"ok"
19,142,"skewnormal",0.3,0.201258819349272,0.193973368041357,"ok"
19,59,"skewnormal",0.3,0.220851733414547,0.193973368041357,"ok"
20,110,"skewnormal",0.3,0.139434546469722,0.193973368041357,"ok"
20,140,"skewnormal",0.3,0.178620374600274,0.193973368041357,"ok"
20,84,"skewnormal",0.3,0.213034871326329,0.193973368041357,"ok"
