Model,T,skew_level,direction,VARset,rho,param,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,mean_bias,sd_bias,RMSE
Normal–Gaussian (NG),50,Exponential,++,A,0.5,phi12,-0.09158356049457388,0.96,0.1516661789667304,0.15426333323888622,-0.009158356049457387,-0.002597154272155816,0.1545349522519106
Normal–Gaussian (NG),50,Exponential,++,A,0.5,phi21,0.008446892721246126,0.975,0.14858170620926464,0.14165070337275026,8.446892721246072e-4,0.006931002836514377,0.1416532218693289
Normal–Gaussian (NG),50,Exponential,++,A,0.5,phi22,-0.21571559726246323,0.945,0.147830365347164,0.141277293091018,-0.0862862389049853,0.006553072256146014,0.1655433132672341
Normal–Gaussian (NG),50,Exponential,++,A,0.5,rho,-0.19523301045502378,0.81,0.11575780859657735,0.13731291598835935,-0.09761650522751189,-0.021555107391782,0.16847498030882535
Normal–Gaussian (NG),50,Exponential,++,B,0.3,sigma[1],0.0159418555324698,0.685,0.10662111303102435,0.19604965065102697,0.0159418555324698,-0.08942853762000262,0.19669674191050512
Normal–Gaussian (NG),50,Exponential,++,B,0.3,sigma[2],0.00424963677190186,0.74,0.10551898542869738,0.19022993962525023,0.00424963677190186,-0.08471095419655285,0.19027740102944293
Normal–Gaussian (NG),50,Exponential,++,B,0.3,mu[1],0.023659286617574927,0.895,0.15200182381479901,0.1769310538695968,0.023659286617574927,-0.024929230054797774,0.17850590933260085
Normal–Gaussian (NG),50,Exponential,++,B,0.3,mu[2],0.004208094656460144,0.95,0.15063376055723612,0.15800023588128898,0.004208094656460144,-0.007366475324052851,0.15805626403018858
Normal–Gaussian (NG),50,Exponential,++,B,0.3,phi11,-0.14001367343298132,0.945,0.1268888178800858,0.11284160448924344,-0.07700752038813972,0.014047213390842361,0.136614003308726
Normal–Gaussian (NG),50,Exponential,++,B,0.3,phi12,0.04590743568549582,0.945,0.14790506583185753,0.1364996324326415,0.004590743568549586,0.011405433399216042,0.13657680835617156
Normal–Gaussian (NG),50,Exponential,++,B,0.3,phi21,-0.01892016158155069,0.98,0.12822527484174626,0.12694770411468123,-0.0018920161581550696,0.001277570727065025,0.1269618025436445
Normal–Gaussian (NG),50,Exponential,++,B,0.3,phi22,-0.18008904293583441,0.98,0.14381254728108792,0.11899840352205751,-0.045022260733958604,0.024814143759030405,0.12723059381451846
Normal–Gaussian (NG),50,Exponential,++,B,0.3,rho,-0.2669499105129782,0.925,0.12946515059641275,0.12927894224847528,-0.08008497315389346,1.8620834793747765e-4,0.15207448120557387
