condition_id,Model,param,mcmc_status,dgp_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
1,Exponential (EG),phi21,Clean,Exponential,++,50,0.3,A,200,-0.02907217815777063,0.93,0.051499411680285274,0.047770056843178026,0.05141728783188716,-0.0036472309887091367
1,Exponential (EG),phi22,Clean,Exponential,++,50,0.3,A,200,-0.021221819610300518,0.94,0.05188446154767258,0.048194787523638816,0.051185338229617794,-0.002990550705978978
1,Exponential (EG),rho,Clean,Exponential,++,50,0.3,A,200,-0.1173515528165677,0.965,0.1202947010878412,0.12669178835598063,0.1150277804899829,0.011664007865997736
2,Normal (NG),sigma[1],Clean,Exponential,--,50,0.3,A,200,0.014905492623576136,0.725,0.18493203249357182,0.10639109083562256,0.18433036356458482,-0.07793927272896226
2,Normal (NG),sigma[2],Clean,Exponential,--,50,0.3,A,200,0.002516130061958635,0.65,0.21358750434597587,0.10526823416477436,0.21357268341773852,-0.10830444925296416
2,Normal (NG),mu[1],Clean,Exponential,--,50,0.3,A,200,0.001980244148750801,0.93,0.16552304075520285,0.15196386150037555,0.16551119495055278,-0.013547333450177224
2,Normal (NG),mu[2],Clean,Exponential,--,50,0.3,A,200,0.013838826648295841,0.905,0.17343258101252051,0.1498031683845593,0.17287957378956864,-0.023076405405009354
2,Normal (NG),phi11,Clean,Exponential,--,50,0.3,A,200,-0.15668234148118076,0.975,0.1290249878391353,0.1395601083876139,0.11278098468166058,0.026779123705953325
2,Normal (NG),phi12,Clean,Exponential,--,50,0.3,A,200,-0.1442346745265819,0.99,0.13369424226997717,0.14561797223042608,0.13291393456965098,0.012704037660775103
2,Normal (NG),phi21,Clean,Exponential,--,50,0.3,A,200,0.1676959895044969,0.95,0.13118112290249645,0.1404890674723562,0.13010483295020578,0.010384234522150426
2,Normal (NG),phi22,Clean,Exponential,--,50,0.3,A,200,-0.2107055548195583,0.96,0.14358579064158583,0.13948730346321062,0.11624709175320669,0.023240211710003927
2,Normal (NG),rho,Clean,Exponential,--,50,0.3,A,200,-0.20841430146631804,0.89,0.1542372334746472,0.12812808440501003,0.14099587687198673,-0.012867792466976696
2,Exponential (EG),mu[1],Clean,Exponential,--,50,0.3,A,200,-0.016797936084739205,0.98,0.13312897982390723,0.1414991424714756,0.1320649636059743,0.009434178865501297
2,Exponential (EG),mu[2],Clean,Exponential,--,50,0.3,A,200,-0.00517075286685181,0.955,0.140725130341477,0.13916557161829168,0.1406301021275873,-0.0014645305092956251
2,Exponential (EG),phi11,Clean,Exponential,--,50,0.3,A,200,-0.020456383855694097,0.97,0.040743872502585494,0.04473142282852374,0.03991376910333954,0.0048176537251842025
2,Exponential (EG),phi12,Clean,Exponential,--,50,0.3,A,200,-0.0439792645250096,0.97,0.04496364168720786,0.046399058187218484,0.044748042601816765,0.0016510155854017189
2,Exponential (EG),phi21,Clean,Exponential,--,50,0.3,A,200,0.03292823072883357,0.96,0.044313182377882475,0.04433882876799584,0.044190671511826575,1.4815725616926234e-4
2,Exponential (EG),phi22,Clean,Exponential,--,50,0.3,A,200,-0.02813351251505693,0.955,0.04873871458794868,0.04655903151132056,0.04742175846018305,-8.627269488624897e-4
2,Exponential (EG),rho,Clean,Exponential,--,50,0.3,A,200,-0.09693695903851182,0.97,0.12193163816971521,0.12606327918006377,0.11841289931533337,0.007650379864730397
3,Normal (NG),sigma[1],Clean,Exponential,+-,50,0.3,A,200,0.015213825734201903,0.715,0.21457095786314187,0.10632865992231137,0.2140309217492546,-0.10770226182694322
3,Normal (NG),sigma[2],Clean,Exponential,+-,50,0.3,A,200,-0.002664504197534035,0.72,0.18687861496128574,0.1048276798555216,0.1868596188244796,-0.082031938968958
3,Normal (NG),mu[1],Clean,Exponential,+-,50,0.3,A,200,0.00965335782495844,0.91,0.18654210487167894,0.1515088313257463,0.18629216186587075,-0.034783330540124446
3,Normal (NG),mu[2],Clean,Exponential,+-,50,0.3,A,200,-0.019248517234200686,0.935,0.17375836932590705,0.14925818437101612,0.17268892696140942,-0.023430742590393294
3,Normal (NG),phi11,Clean,Exponential,+-,50,0.3,A,200,-0.15759909919490003,0.975,0.13294024570936758,0.13550950353812552,0.11704320893815238,0.018466294599973135
3,Normal (NG),phi12,Clean,Exponential,+-,50,0.3,A,200,-0.07449914528416661,0.975,0.13721885803765718,0.1416996983418499,0.137016472639891,0.004683225701958893
3,Normal (NG),phi21,Clean,Exponential,+-,50,0.3,A,200,-0.2898993260239946,0.945,0.14725250160132128,0.13723471477027166,0.1443706446461865,-0.007135929875914854
3,Normal (NG),phi22,Clean,Exponential,+-,50,0.3,A,200,-0.23247014098294114,0.9,0.16178931048493814,0.13665718273740288,0.13239713877350653,0.004260043963896343
3,Normal (NG),rho,Clean,Exponential,+-,50,0.3,A,200,-1.7366000685741185,0.02,0.5397672407847383,0.1291790458074937,0.1411683122691584,-0.011989266461664705
3,Exponential (EG),mu[1],Clean,Exponential,+-,50,0.3,A,200,0.025738681620071625,0.935,0.15423915501481733,0.14175193736092695,0.15207641897462418,-0.010324481613697228
3,Exponential (EG),mu[2],Clean,Exponential,+-,50,0.3,A,200,-0.03339811872680443,0.975,0.14275717306640825,0.14311983422903582,0.13879544707022168,0.004324387158814141
3,Exponential (EG),phi11,Clean,Exponential,+-,50,0.3,A,200,-0.02713298539305181,0.95,0.04629933192889463,0.0442834751576746,0.04500929141463606,-7.258162569614632e-4
