condition_id,Model,param,dgp_level,direction,T,rho,VARset,N_valid,N_truth_avail,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat
1,Normal (NG),phi22,Exponential,++,50,0.3,A,200,200,-0.18250381777091004,0.94,0.14312138152124013,0.13859323142497676,0.12310364287215536,0.01548958855282139,0,0,1.000983101748975
1,Normal (NG),rho,Exponential,++,50,0.3,A,200,200,-0.24601158729221845,0.9,0.15593367182557138,0.12905462164872555,0.13736213783871332,-0.00830751618998776,0,0,1.000983101748975
1,Normal (NG),sigma[1],Exponential,++,50,0.3,A,200,200,-0.00644913369983754,0.695,0.19250543183641802,0.10423463302369174,0.192397375140742,-0.08816274211705025,0,0,1.000983101748975
1,Normal (NG),sigma[2],Exponential,++,50,0.3,A,200,200,0.01133494540182134,0.69,0.21849423052670824,0.1059171461367178,0.2182000178418784,-0.1122828717051606,0,0,1.000983101748975
2,Exponential (EG),mu[1],Exponential,--,50,0.3,A,200,200,-0.0167979360847392,0.98,0.13312897982390723,0.1414991424714756,0.1320649636059743,0.00943417886550129,0,0,1.0020067267018529
2,Exponential (EG),mu[2],Exponential,--,50,0.3,A,200,200,-0.00517075286685181,0.955,0.140725130341477,0.13916557161829168,0.1406301021275873,-0.00146453050929562,0,0,1.0020067267018529
2,Exponential (EG),phi11,Exponential,--,50,0.3,A,200,200,-0.02045638385569409,0.97,0.040743872502585494,0.04473142282852374,0.03991376910333954,0.0048176537251842,0,0,1.0020067267018529
2,Exponential (EG),phi12,Exponential,--,50,0.3,A,200,200,-0.0439792645250096,0.97,0.044963641687207845,0.04639905818721848,0.04474804260181676,0.00165101558540171,0,0,1.0020067267018529
2,Exponential (EG),phi21,Exponential,--,50,0.3,A,200,200,0.03292823072883358,0.96,0.04431318237788247,0.04433882876799584,0.04419067151182657,1.4815725616926234e-4,0,0,1.0020067267018529
2,Exponential (EG),phi22,Exponential,--,50,0.3,A,200,200,-0.02813351251505693,0.955,0.04873871458794868,0.04655903151132056,0.04742175846018305,-8.627269488624897e-4,0,0,1.0020067267018529
2,Exponential (EG),rho,Exponential,--,50,0.3,A,200,200,-0.09693695903851182,0.97,0.1219316381697152,0.12606327918006377,0.11841289931533336,0.00765037986473039,0,0,1.0020067267018529
2,Normal (NG),mu[1],Exponential,--,50,0.3,A,200,200,0.0019802441487508,0.93,0.16552304075520285,0.15196386150037555,0.16551119495055278,-0.01354733345017722,0,0,1.0009961854749043
2,Normal (NG),mu[2],Exponential,--,50,0.3,A,200,200,0.01383882664829584,0.905,0.17343258101252051,0.1498031683845593,0.17287957378956864,-0.02307640540500935,0,0,1.0009961854749043
2,Normal (NG),phi11,Exponential,--,50,0.3,A,200,200,-0.15668234148118076,0.975,0.1290249878391353,0.1395601083876139,0.11278098468166058,0.02677912370595332,0,0,1.0009961854749043
2,Normal (NG),phi12,Exponential,--,50,0.3,A,200,200,-0.1442346745265819,0.99,0.13369424226997717,0.14561797223042608,0.13291393456965098,0.0127040376607751,0,0,1.0009961854749043
2,Normal (NG),phi21,Exponential,--,50,0.3,A,200,200,0.1676959895044969,0.95,0.13118112290249645,0.1404890674723562,0.13010483295020578,0.01038423452215042,0,0,1.0009961854749043
2,Normal (NG),phi22,Exponential,--,50,0.3,A,200,200,-0.2107055548195583,0.96,0.14358579064158583,0.13948730346321062,0.11624709175320667,0.02324021171000392,0,0,1.0009961854749043
2,Normal (NG),rho,Exponential,--,50,0.3,A,200,200,-0.208414301466318,0.89,0.1542372334746472,0.12812808440501003,0.14099587687198673,-0.01286779246697669,0,0,1.0009961854749043
2,Normal (NG),sigma[1],Exponential,--,50,0.3,A,200,200,0.01490549262357613,0.725,0.1849320324935718,0.10639109083562256,0.1843303635645848,-0.07793927272896226,0,0,1.0009961854749043
2,Normal (NG),sigma[2],Exponential,--,50,0.3,A,200,200,0.00251613006195863,0.65,0.21358750434597587,0.10526823416477436,0.21357268341773855,-0.1083044492529642,0,0,1.0009961854749043
3,Exponential (EG),mu[1],Exponential,+-,50,0.3,A,200,200,0.02573868162007162,0.935,0.15423915501481733,0.14175193736092695,0.15207641897462418,-0.01032448161369722,0,0,1.0019129443174153
3,Exponential (EG),mu[2],Exponential,+-,50,0.3,A,200,200,-0.03339811872680443,0.975,0.14275717306640825,0.14311983422903582,0.13879544707022168,0.00432438715881414,0,0,1.0019129443174153
3,Exponential (EG),phi11,Exponential,+-,50,0.3,A,200,200,-0.02713298539305181,0.95,0.04629933192889463,0.0442834751576746,0.04500929141463606,-7.258162569614632e-4,0,0,1.0019129443174153
3,Exponential (EG),phi12,Exponential,+-,50,0.3,A,200,200,-0.01954144925574683,0.945,0.05093280541671448,0.04455924201606123,0.05089530415693329,-0.00633606214087206,0,0,1.0019129443174153
3,Exponential (EG),phi21,Exponential,+-,50,0.3,A,200,200,0.00339539777505375,0.94,0.04475128451950576,0.04414475668685649,0.04474999641212553,-6.052397252690328e-4,0,0,1.0019129443174153
3,Exponential (EG),phi22,Exponential,+-,50,0.3,A,200,200,-0.03616821249893119,0.955,0.0446071091111427,0.04525571075766901,0.04219587477460961,0.0030598359830594,0,0,1.0019129443174153
3,Exponential (EG),rho,Exponential,+-,50,0.3,A,200,200,-1.8687028217060857,0.005,0.5732265738965426,0.12648608216954088,0.11960009947513676,0.00688598269440413,0,0,1.0019129443174153
3,Normal (NG),mu[1],Exponential,+-,50,0.3,A,200,200,0.00965335782495844,0.91,0.18654210487167894,0.1515088313257463,0.18629216186587075,-0.03478333054012444,0,0,1.0010484238109882
3,Normal (NG),mu[2],Exponential,+-,50,0.3,A,200,200,-0.01924851723420068,0.935,0.17375836932590705,0.14925818437101612,0.17268892696140942,-0.02343074259039329,0,0,1.0010484238109882
3,Normal (NG),phi11,Exponential,+-,50,0.3,A,200,200,-0.15759909919490003,0.975,0.13294024570936758,0.13550950353812552,0.1170432089381524,0.01846629459997312,0,0,1.0010484238109882
3,Normal (NG),phi12,Exponential,+-,50,0.3,A,200,200,-0.07449914528416662,0.975,0.13721885803765718,0.1416996983418499,0.137016472639891,0.00468322570195889,0,0,1.0010484238109882
3,Normal (NG),phi21,Exponential,+-,50,0.3,A,200,200,-0.2898993260239946,0.945,0.14725250160132128,0.13723471477027166,0.1443706446461865,-0.00713592987591485,0,0,1.0010484238109882
