condition_id,model,param,T,tvp_pattern,margin_type,direction,VARset,N_valid,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,RMSE,mean_n_div,prop_div,mean_rhat
1,TVP_NG,phi22,100,constant,normal,++,A,200,-0.038496064145952046,-0.0962401603648801,0.94,0.10793083044923835,0.10352673013314072,0.004404100316097628,0.11020953628216164,NA,NA,1.0033063889786096
1,TVP_NG,rho_change,100,constant,normal,++,A,200,NA,NA,NA,0.2180520513179744,0.13119692754934018,0.08685512376863422,NA,NA,NA,1.0033063889786096
1,TVP_NG,rho_end,100,constant,normal,++,A,200,-0.028651686990542505,-0.05730337398108501,0.995,0.16347230942270452,0.11738396104356658,0.046088348379137944,0.12054467431674529,NA,NA,1.0033063889786096
1,TVP_NG,rho_mean,100,constant,normal,++,A,200,-0.013749802856000607,-0.027499605712001215,0.945,0.0771863737528357,0.0786912929554634,-0.0015049192026276997,0.07968949157603174,NA,NA,1.0033063889786096
1,TVP_NG,rho_range,100,constant,normal,++,A,200,0.38768986410695777,0.38768986410695777,0,0.2645135269068972,0.12623941897894694,0.13827410792795028,0.4076274520697702,NA,NA,1.0033063889786096
1,TVP_NG,rho_sd,100,constant,normal,++,A,200,0.0953699509888944,0.0953699509888944,0,0.06496357781612698,0.03278000225915199,0.03218357555697499,0.10081955890100681,NA,NA,1.0033063889786096
1,TVP_NG,rho_start,100,constant,normal,++,A,200,-0.02197106932153479,-0.04394213864306958,1,0.1569605494057824,0.1044260248615591,0.05253452454422332,0.10645655725307253,NA,NA,1.0033063889786096
1,TVP_NG,sigma[1],100,constant,normal,++,A,200,0.013473952170180324,0.013473952170180324,0.95,0.07337346762838674,0.07393750261197092,-5.640349835841774e-4,0.0749731145686041,NA,NA,1.0033063889786096
1,TVP_NG,sigma[2],100,constant,normal,++,A,200,0.018140261273265616,0.018140261273265616,0.945,0.07370225453245927,0.07512940340928638,-0.001427148876827114,0.07710560420238242,NA,NA,1.0033063889786096
1,TVP_NG,sigma_z,100,constant,normal,++,A,200,NA,NA,NA,0.03505987731136802,0.013919296094532737,0.02114058121683528,NA,NA,NA,1.0033063889786096
1,TVP_NG,z0,100,constant,normal,++,A,200,NA,NA,NA,0.2108916970108033,0.14112665748575193,0.06976503952505136,NA,NA,NA,1.0033063889786096
2,Const_NG,mu[1],200,constant,normal,++,A,200,-0.0023593156331836763,-0.0023593156331836763,0.965,0.07188122530814489,0.06827691133904804,0.003604313969096856,0.06814685839528635,NA,NA,1.001239134714876
2,Const_NG,mu[2],200,constant,normal,++,A,200,-0.002233370269663595,-0.002233370269663595,0.955,0.07172734224819953,0.06945261859900433,0.002274723649195204,0.06931475919217267,NA,NA,1.001239134714876
2,Const_NG,phi11,200,constant,normal,++,A,200,-0.016283823060998414,-0.04070955765249603,0.925,0.07565186257035972,0.07741887120468671,-0.0017670086343269942,0.07892322917871983,NA,NA,1.001239134714876
2,Const_NG,phi12,200,constant,normal,++,A,200,6.736741861513863e-4,0.006736741861513865,0.955,0.07604171196883341,0.07844679695839546,-0.002405084989562045,0.0782533340515,NA,NA,1.001239134714876
2,Const_NG,phi21,200,constant,normal,++,A,200,-0.010583704720503101,-0.105837047205031,0.91,0.07552183321158991,0.08137210427631703,-0.005850271064727117,0.08185552555078265,NA,NA,1.001239134714876
2,Const_NG,phi22,200,constant,normal,++,A,200,-0.00991305590357328,-0.024782639758933193,0.95,0.07570408891065596,0.07836737805344,-0.0026632891427840477,0.07879725496870628,NA,NA,1.001239134714876
2,Const_NG,rho,200,constant,normal,++,A,200,-0.015077683389367972,-0.030155366778735943,0.95,0.05404040412762088,0.053956093697860884,8.431042975999559e-5,0.05589311481109909,NA,NA,1.001239134714876
2,Const_NG,sigma[1],200,constant,normal,++,A,200,0.006079487679686537,0.006079487679686537,0.965,0.05081648719470664,0.04988644352417832,9.300436705283188e-4,0.05013156821505824,NA,NA,1.001239134714876
2,Const_NG,sigma[2],200,constant,normal,++,A,200,0.003236070272793403,0.003236070272793403,0.97,0.050593319923379995,0.04785618698831349,0.0027371329350665066,0.04784595814387648,NA,NA,1.001239134714876
2,TVP_NG,mu[1],200,constant,normal,++,A,200,-0.0029874672234998637,-0.0029874672234998637,0.96,0.07202073046948063,0.06820851723966172,0.0038122132298189088,0.06810333894402351,NA,NA,1.004550855626034
