condition_id,model,param,T,tvp_pattern,N,mean_estimate,mean_truth,mean_bias,coverage_95,RMSE
5,TVP_NG,rho_mean,100,step,200,0.5861415566546984,0.6,-0.013858443345301619,0.955,0.060747694742650196
5,TVP_NG,rho_range,100,step,200,0.6139879358995176,0.39999999999999997,0.21398793589951762,0.88,0.3165009435646126
5,TVP_NG,rho_sd,100,step,200,0.15742473442241947,0.17407765595569782,-0.016652921533278346,0.98,0.06741935737747673
5,TVP_NG,rho_start,100,step,200,0.33674816739700125,0.3,0.03674816739700126,0.985,0.1777550619068274
6,TVP_NG,rho_end,200,step,200,0.6798517050003495,0.7,-0.02014829499965043,1,0.08323661189319449
6,TVP_NG,rho_mean,200,step,200,0.5425173532015979,0.5499999999999999,-0.0074826467984020805,0.95,0.04898715086406707
6,TVP_NG,rho_range,200,step,200,0.7632364818123635,0.39999999999999997,0.3632364818123635,0.535,0.4071516181885588
6,TVP_NG,rho_sd,200,step,200,0.19918385127114527,0.19413511328725486,0.005048737983890424,0.965,0.0527325294311312
6,TVP_NG,rho_start,200,step,200,0.2671635148365621,0.3,-0.032836485163437915,0.995,0.15518173133199029
7,TVP_NG,rho_end,100,random_walk,200,0.41708072169403143,0.40563761244445035,0.011443109249581048,0.95,0.1529953205468383
7,TVP_NG,rho_mean,100,random_walk,200,0.4280301019712837,0.43383163006054837,-0.005801528089264689,0.965,0.07286993031576161
7,TVP_NG,rho_range,100,random_walk,200,0.4887916247627839,0.47366930403880325,0.015122320723980686,0.99,0.19264994819678338
7,TVP_NG,rho_sd,100,random_walk,200,0.12479240382495789,0.1203704809822605,0.004421922842697393,0.99,0.0521156208711155
7,TVP_NG,rho_start,100,random_walk,200,0.413430928095038,0.45904742730892856,-0.04561649921389055,0.97,0.15806961769398176
8,TVP_NG,rho_end,200,random_walk,200,0.3968763842263265,0.37031848941488077,0.02655789481144573,0.92,0.1582069808435103
8,TVP_NG,rho_mean,200,random_walk,200,0.4242928638091725,0.42379730780599106,4.955560031815072e-4,0.945,0.053675395114403036
8,TVP_NG,rho_range,200,random_walk,200,0.6939322130659467,0.7204889711385772,-0.026556758072630502,0.975,0.20603371850317245
8,TVP_NG,rho_sd,200,random_walk,200,0.17999873725099577,0.18928153008167709,-0.00928279283068132,0.965,0.050848648734982946
8,TVP_NG,rho_start,200,random_walk,200,0.4177605235359887,0.48141135625860865,-0.06365083272261993,0.95,0.1786824075566029
9,TVP_EG,rho_end,100,constant,200,0.5193203830878513,0.5,0.019320383087851355,0.985,0.11190613615214569
9,TVP_EG,rho_mean,100,constant,200,0.5255233017882073,0.5,0.02552330178820727,0.93,0.07740666134464644
9,TVP_EG,rho_range,100,constant,200,0.39805997649742886,0,0.39805997649742886,0,0.41494330004979074
9,TVP_EG,rho_sd,100,constant,200,0.09805164219049937,0,0.09805164219049937,0,0.10277647357904242
