condition_id,Model,param,mcmc_status,skew_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
1,NG,sigma[1],Clean,moderateSN,++,50,0.3,A,200,0.012376737835994642,0.905,0.11932252542204623,0.10627586629331576,0.11867890054105627,-0.012403034247740516
1,NG,sigma[2],Clean,moderateSN,++,50,0.3,A,200,0.011803866725874395,0.9,0.12136849203781096,0.10606871579651125,0.12079312724592396,-0.014724411449412708
1,NG,mu[1],Clean,moderateSN,++,50,0.3,A,200,-0.00413001894474852,0.935,0.158491735492101,0.15089010145409354,0.15843791579926228,-0.007547814345168741
1,NG,mu[2],Clean,moderateSN,++,50,0.3,A,200,-0.0014761125472582022,0.925,0.17889553845097386,0.1510592632886061,0.1788894484574529,-0.027830185168846777
1,NG,phi11,Clean,moderateSN,++,50,0.3,A,200,-0.19317054548173695,0.955,0.14159854032052602,0.1406704192724922,0.11865820274313,0.02201221652936218
1,NG,phi12,Clean,moderateSN,++,50,0.3,A,200,-0.10846427734703044,0.965,0.13343135080684032,0.14172573995750434,0.132989775484937,0.008735964472567331
1,NG,phi21,Clean,moderateSN,++,50,0.3,A,200,-0.06687344826765061,0.945,0.14308422968756546,0.14158400239914287,0.14292787063568788,-0.0013438682365450039
1,NG,phi22,Clean,moderateSN,++,50,0.3,A,200,-0.21363737739526747,0.9,0.16090279759838685,0.14076173298189334,0.1363347411034142,0.004426991878479142
1,NG,rho,Clean,moderateSN,++,50,0.3,A,200,-0.1242661563894829,0.925,0.1335367956084417,0.12742212928402924,0.1282274884540259,-8.053591699966611e-4
1,SG,omega[1],Clean,moderateSN,++,50,0.3,A,167,-0.2666936666204347,0.5269461077844312,0.4577931570245924,0.19730531268032633,0.17924371194727284,0.01806160073305349
1,SG,omega[1],Problematic,moderateSN,++,50,0.3,A,33,-0.223256439883467,0.6060606060606061,0.4234005402928373,0.20468387716196756,0.23434369858771056,-0.029659821425743
1,SG,omega[2],Clean,moderateSN,++,50,0.3,A,167,-0.28619443392740246,0.49101796407185627,0.4771785007200208,0.1875204527594545,0.1528214976357901,0.034698955123664416
1,SG,omega[2],Problematic,moderateSN,++,50,0.3,A,33,-0.19803921295755297,0.7272727272727273,0.39399889830914947,0.2335368335948529,0.2395599272387288,-0.006023093643875904
1,SG,alpha[1],Clean,moderateSN,++,50,0.3,A,167,-0.7644517156296566,0.49101796407185627,3.2432847865714187,1.8849689854846603,1.0810704872207022,0.8038984982639581
1,SG,alpha[1],Problematic,moderateSN,++,50,0.3,A,33,-0.3454634865170846,0.6363636363636364,3.310890321903649,4.977321237502414,3.008733021623988,1.9685882158784263
1,SG,alpha[2],Clean,moderateSN,++,50,0.3,A,167,-0.838835121377102,0.3532934131736527,3.42324329715392,1.4830367540604306,0.6784429952600608,0.8045937588003698
1,SG,alpha[2],Problematic,moderateSN,++,50,0.3,A,33,-0.38733632977030785,0.7878787878787878,2.756682841043878,4.874855208072449,2.280094157780951,2.594761050291498
1,SG,mu[1],Clean,moderateSN,++,50,0.3,A,167,0.0067228099784974096,0.9461077844311377,0.15332574382547398,0.14749978215291465,0.15317828679557652,-0.005678504642661869
1,SG,mu[1],Problematic,moderateSN,++,50,0.3,A,33,-0.05168520299403429,0.8787878787878788,0.17365633700924488,0.1446505004072301,0.16578649877156432,-0.02113599836433422
1,SG,mu[2],Clean,moderateSN,++,50,0.3,A,167,0.005319914654569337,0.9341317365269461,0.17273392323672615,0.14764970208175354,0.17265198158381878,-0.02500227950206524
1,SG,mu[2],Problematic,moderateSN,++,50,0.3,A,33,-0.03913232524038961,0.8484848484848485,0.2053388981340286,0.1501967036045975,0.2015756041989639,-0.051378900594366395
1,SG,phi11,Clean,moderateSN,++,50,0.3,A,167,-0.18972392051044737,0.9520958083832335,0.13954898898002246,0.1373756227988675,0.11710975093103776,0.020265871867829743
1,SG,phi11,Problematic,moderateSN,++,50,0.3,A,33,-0.1355031627613323,0.9696969696969697,0.12215975369371927,0.1295576573395906,0.10947706738663719,0.020080589952953407
1,SG,phi12,Clean,moderateSN,++,50,0.3,A,167,-0.09634210259103942,0.9640718562874252,0.12930616326698402,0.13914079602993235,0.12894675587819687,0.010194040151735473
1,SG,phi12,Problematic,moderateSN,++,50,0.3,A,33,-0.12922131523149472,0.9696969696969697,0.11988296301686545,0.12503521382415173,0.11918449286128442,0.0058507209628673035
1,SG,phi21,Clean,moderateSN,++,50,0.3,A,167,-0.08700673983741306,0.9580838323353293,0.13492455559692254,0.13883461032622005,0.13464372980297185,0.004190880523248203
1,SG,phi21,Problematic,moderateSN,++,50,0.3,A,33,-0.00937969612176448,0.9090909090909091,0.15491223238075377,0.1356942519490076,0.15490939272424797,-0.019215140775240364
1,SG,phi22,Clean,moderateSN,++,50,0.3,A,167,-0.21149549410516771,0.9101796407185628,0.1553303467490428,0.13901363564559474,0.13027149180419953,0.008742143841395211
1,SG,phi22,Problematic,moderateSN,++,50,0.3,A,33,-0.18780758178758564,0.9090909090909091,0.16018090504953705,0.1322998197531379,0.14147244360010433,-0.009172623846966432
1,SG,rho,Clean,moderateSN,++,50,0.3,A,167,-0.10686848995296033,0.9401197604790419,0.13328298327597063,0.12603960876632359,0.12936952870714313,-0.003329919940819548
1,SG,rho,Problematic,moderateSN,++,50,0.3,A,33,-0.20385536574684085,0.9696969696969697,0.12388527628464313,0.1263743367642332,0.10773778709061328,0.018636549673619926
