Model,param,skew_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias,mean_bias
NG,phi22,moderateSN,+-,50,0.5,A,200,-0.21513683048959506,0.95,0.15875610005047977,0.14762571097653912,0.13340945382520888,0.014216257151330236,-0.08605473219583804
NG,rho,moderateSN,+-,50,0.5,A,200,-0.1633014260913388,0.935,0.12586479912520823,0.11541196586482969,0.09578678780480517,0.01962517806002452,-0.0816507130456694
NG,sigma[1],moderateSN,+-,50,0.3,B,200,0.009302471235145993,0.9,0.12234621965934613,0.10602982269685168,0.12199205504397512,-0.015962232347123434,0.009302471235145993
NG,sigma[2],moderateSN,+-,50,0.3,B,200,0.0056723327369801735,0.92,0.11679441885300296,0.10564011837097761,0.1166565939693581,-0.011016475598380482,0.0056723327369801735
NG,mu[1],moderateSN,+-,50,0.3,B,200,0.005311369792193462,0.91,0.172025260028637,0.15039875872178265,0.17194324481889584,-0.02154448609711318,0.005311369792193462
NG,mu[2],moderateSN,+-,50,0.3,B,200,0.012788904968194847,0.93,0.16236156525060955,0.14976161630606455,0.16185710296537012,-0.012095486659305571,0.012788904968194847
NG,phi11,moderateSN,+-,50,0.3,B,200,-0.14722150685987362,0.915,0.15108142800915084,0.1261997385474448,0.12755062067450496,-0.0013508821270601656,-0.0809718287729305
NG,phi12,moderateSN,+-,50,0.3,B,200,0.07163174562312206,0.96,0.14142440152992572,0.14697211193683216,0.14124287691167828,0.005729235025153878,0.007163174562312206
NG,phi21,moderateSN,+-,50,0.3,B,200,-0.22594747977960403,0.95,0.12074782401011201,0.1274035469317113,0.11861498373725571,0.00878856319445559,-0.022594747977960405
NG,phi22,moderateSN,+-,50,0.3,B,200,-0.22109151262435453,0.94,0.1398163568545894,0.145130419795284,0.1284271100057619,0.016703309789522086,-0.05527287815608863
NG,rho,moderateSN,+-,50,0.3,B,200,-0.18776067457739737,0.945,0.12852272657198563,0.12893415499274685,0.11552153419557343,0.013412620797173425,-0.056328202373219206
NG,sigma[1],moderateSN,+-,50,0.5,B,200,-9.539448946542055e-5,0.915,0.12126446169776564,0.10412482009713539,0.121264424176014,-0.017139604078878615,-9.539448946542055e-5
NG,sigma[2],moderateSN,+-,50,0.5,B,200,-0.006790561477140483,0.9,0.1175725043813863,0.10338080441135321,0.11737624146877543,-0.01399543705742222,-0.006790561477140483
NG,mu[1],moderateSN,+-,50,0.5,B,200,-0.019400971410199554,0.905,0.17648061122044661,0.14896317176820256,0.175410970138937,-0.026447798370734438,-0.019400971410199554
NG,mu[2],moderateSN,+-,50,0.5,B,200,0.0039698142220942305,0.925,0.16101013003124884,0.14781879226802241,0.16096118335711165,-0.01314239108908924,0.0039698142220942305
NG,phi11,moderateSN,+-,50,0.5,B,200,-0.1809476979175816,0.92,0.16639143854019608,0.13436327770073112,0.13334779650042952,0.0010154812003015934,-0.09952123385466989
NG,phi12,moderateSN,+-,50,0.5,B,200,0.1626470152269981,0.975,0.13149335147282654,0.153827758541771,0.13048356588449667,0.023344192657274332,0.01626470152269981
NG,phi21,moderateSN,+-,50,0.5,B,200,-0.1953303620001717,0.95,0.13978344720310096,0.13474573884239802,0.1384119669999344,-0.003666228157536394,-0.01953303620001717
NG,phi22,moderateSN,+-,50,0.5,B,200,-0.2059692531791171,0.97,0.14712010675148643,0.15167662859416572,0.1378146127307299,0.013862015863435828,-0.051492313294779275
NG,rho,moderateSN,+-,50,0.5,B,200,-0.18901898893981128,0.94,0.1350478278166192,0.11682967420440751,0.09646694383585551,0.020362730368552004,-0.09450949446990564
NG,sigma[1],moderateSN,--,50,0.3,A,200,0.013661607837418337,0.905,0.12259074906418214,0.10639330221640712,0.12182714076680067,-0.015433838550393542,0.013661607837418337
NG,sigma[2],moderateSN,--,50,0.3,A,200,0.00433403033524809,0.9,0.11543636827040343,0.1055673346574319,0.11535497952196669,-0.009787644864534789,0.00433403033524809
NG,mu[1],moderateSN,--,50,0.3,A,200,-0.015761578540840235,0.935,0.1677640444723692,0.1504832965455916,0.16702199633469836,-0.01653869978910677,-0.015761578540840235
NG,mu[2],moderateSN,--,50,0.3,A,200,-0.013212234828914147,0.925,0.16299702943588482,0.14919893435538434,0.1624606674113717,-0.013261733055987351,-0.013212234828914147
NG,phi11,moderateSN,--,50,0.3,A,200,-0.174964279955468,0.945,0.13588556831260787,0.1395133986133597,0.11647698396673377,0.02303641464662594,-0.0699857119821872
NG,phi12,moderateSN,--,50,0.3,A,200,-0.04916903936340274,0.97,0.14250163341508207,0.14256373743136128,0.1424167812501295,1.4695618123178322e-4,-0.004916903936340275
NG,phi21,moderateSN,--,50,0.3,A,200,-0.06079710774462416,0.935,0.1473001145372977,0.13980897135560888,0.14717459311851316,-0.007365621762904284,-0.006079710774462416
