Model,param,mcmc_status,skew_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
SG,mu[1],Problematic,moderateSN,++,50,0.3,A,63,-0.0014684960508405424,0.9841269841269841,0.1506734779959081,0.14826182501788507,0.15066632168713773,-0.0024044966692526593
SG,mu[2],Clean,moderateSN,++,50,0.3,A,137,-0.0036500758421855804,0.927007299270073,0.16275414597639817,0.14714034471798565,0.16271321083075282,-0.015572866112767175
SG,mu[2],Problematic,moderateSN,++,50,0.3,A,63,0.012123752789431537,0.9682539682539683,0.1451279846599751,0.14739300339078223,0.1446206988980717,0.0027723044927105422
SG,phi11,Clean,moderateSN,++,50,0.3,A,137,-0.1596154014285277,0.948905109489051,0.14781440725563327,0.1372423545907499,0.13331454073965002,0.003927813851099887
SG,phi11,Problematic,moderateSN,++,50,0.3,A,63,-0.08654061313298896,0.9682539682539683,0.12225160363821429,0.12992179057758282,0.11724832688224453,0.012673463695338297
SG,phi12,Clean,moderateSN,++,50,0.3,A,137,-0.14090034361196305,0.9781021897810219,0.13866813943050582,0.1390184905767233,0.1379504397413017,0.0010680508354216078
SG,phi12,Problematic,moderateSN,++,50,0.3,A,63,0.09241668064987385,0.9682539682539683,0.11687237581497271,0.13275414068651223,0.11650641098245543,0.0162477297040568
SG,phi21,Clean,moderateSN,++,50,0.3,A,137,-0.007534404226984851,0.9343065693430657,0.13781016813568947,0.13907212588476658,0.13780810850278893,0.0012640173819776501
SG,phi21,Problematic,moderateSN,++,50,0.3,A,63,-0.13412324037251722,0.9682539682539683,0.12212524362906997,0.12918349096004966,0.12138650952795148,0.007796981432098185
SG,phi22,Clean,moderateSN,++,50,0.3,A,137,-0.18973211073983917,0.9343065693430657,0.1571500475610757,0.13840268460138785,0.13760964222437766,7.930423770101946e-4
SG,phi22,Problematic,moderateSN,++,50,0.3,A,63,-0.0783913735126708,1,0.10426227411307339,0.1319348506879322,0.09943534890891248,0.032499501779019724
SG,rho,Clean,moderateSN,++,50,0.3,A,137,-0.10707249007757497,0.9562043795620438,0.12731140356633208,0.12628853893074332,0.12319247885403702,0.0030960600767063057
SG,rho,Problematic,moderateSN,++,50,0.3,A,63,-0.160416596440139,0.9523809523809523,0.1292958417578854,0.12626852568512295,0.12000583776912972,0.006262687915993229
NG,sigma[1],Clean,strongSN,++,50,0.3,A,200,0.026879048979721758,0.895,0.1271195135592096,0.10778898160327952,0.12424527135257821,-0.01645628974929869
NG,sigma[2],Clean,strongSN,++,50,0.3,A,200,0.007354024387994036,0.915,0.11565986657327805,0.10585963726700495,0.11542583359477751,-0.009566196327772558
NG,mu[1],Clean,strongSN,++,50,0.3,A,200,0.02598549933146867,0.94,0.17455506919181185,0.15200653044479412,0.17261004027881016,-0.020603509834016043
NG,mu[2],Clean,strongSN,++,50,0.3,A,200,0.008216397044938041,0.95,0.14951642643477106,0.1490490876979137,0.14929049733129113,-2.4140963337743182e-4
