condition_id,Model,param,T,theta,VARset,N_valid,N_truth_avail,mean_bias,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat
1,NC (Clayton copula),mu[1],50,0.5,A,200,200,-0.0060833076847203,-0.0060833076847203,0.915,0.15742518234976782,0.14946079242610266,0.15730760123233292,-0.00784680880623026,0,0,1.0013570634859923
1,NC (Clayton copula),mu[2],50,0.5,A,200,200,-0.020326111616565182,-0.020326111616565182,0.955,0.14650029933923053,0.14968093315157732,0.1450833791067574,0.00459755404481992,0,0,1.0013570634859923
1,NC (Clayton copula),phi11,50,0.5,A,200,200,-0.07659308256453466,-0.19148270641133663,0.94,0.14530606768531565,0.13731725973469486,0.12348017253564196,0.01383708719905289,0,0,1.0013570634859923
1,NC (Clayton copula),phi12,50,0.5,A,200,200,-2.6013019074720847e-4,-0.00260130190747208,0.96,0.12584622289391842,0.13595553808054292,0.1258459540428283,0.01010958403771461,0,0,1.0013570634859923
1,NC (Clayton copula),phi21,50,0.5,A,200,200,-0.03370846928304284,-0.33708469283042836,0.93,0.1490238778927343,0.13779234134355176,0.1451614800171958,-0.00736913867364405,0,0,1.0013570634859923
1,NC (Clayton copula),phi22,50,0.5,A,200,200,-0.046591142270558,-0.116477855676395,0.92,0.14703090703549032,0.13541601082882404,0.13945376683906255,-0.0040377560102385,0,0,1.0013570634859923
1,NC (Clayton copula),sigma[1],50,0.5,A,200,200,0.01737346606737676,0.01737346606737676,0.975,0.09836253668859435,0.1052497659434352,0.09681606943385368,0.00843369650958152,0,0,1.0013570634859923
1,NC (Clayton copula),sigma[2],50,0.5,A,200,200,0.02046517325327265,0.02046517325327265,0.94,0.1044934336018733,0.10560357271158186,0.10246977285825629,0.00313379985332558,0,0,1.0013570634859923
1,NC (Clayton copula),theta,50,0.5,A,200,200,0.06603307433795014,0.13206614867590027,0.985,0.21591739961699333,0.23841728152994884,0.2055722660060037,0.03284501552394514,0,0,1.0013570634859923
1,NG (Gaussian copula),mu[1],50,0.5,A,200,200,0.00399982691760675,0.00399982691760675,0.935,0.1581886598782128,0.149871750753103,0.15813808364430776,-0.00826633289120476,0,0,1.0011989297014208
1,NG (Gaussian copula),mu[2],50,0.5,A,200,200,-0.01002764156543298,-0.01002764156543298,0.945,0.14670125737475975,0.15040422228208625,0.14635814060027785,0.00404608168180839,0,0,1.0011989297014208
1,NG (Gaussian copula),phi11,50,0.5,A,200,200,-0.0786476398684755,-0.1966190996711887,0.94,0.14967970510403883,0.1399391273559876,0.12735212154946854,0.01258700580651905,0,0,1.0011989297014208
1,NG (Gaussian copula),phi12,50,0.5,A,200,200,0.00429648763529895,0.0429648763529895,0.965,0.13048277919293527,0.13903195626729925,0.13041202344842298,0.00861993281887627,0,0,1.0011989297014208
1,NG (Gaussian copula),phi21,50,0.5,A,200,200,-0.02970342076071315,-0.2970342076071315,0.925,0.15040771839987652,0.14113281041641143,0.14744554435237636,-0.00631273393596493,0,0,1.0011989297014208
1,NG (Gaussian copula),phi22,50,0.5,A,200,200,-0.04628406329487414,-0.11571015823718536,0.93,0.14458102496685601,0.13846406714055673,0.13697247265557677,0.00149159448497995,0,0,1.0011989297014208
1,NG (Gaussian copula),rho,50,0.5,A,200,0,NA,NA,NA,NA,0.12703669892513125,0.13480712480282864,-0.00777042587769741,0,0,1.0011989297014208
1,NG (Gaussian copula),sigma[1],50,0.5,A,200,200,0.01360725553020109,0.01360725553020109,0.955,0.10357145210451488,0.10624195541850907,0.10267369813137944,0.00356825728712965,0,0,1.0011989297014208
1,NG (Gaussian copula),sigma[2],50,0.5,A,200,200,0.01570615176659341,0.01570615176659341,0.945,0.10359326232896883,0.1065632348843784,0.10239570692486716,0.00416752795951122,0,0,1.0011989297014208
2,NC (Clayton copula),mu[1],100,0.5,A,200,200,0.01295546077478925,0.01295546077478925,0.935,0.11185345964338657,0.10384585507910196,0.1111006411786521,-0.00725478609955013,0,0,1.0012114239881695
2,NC (Clayton copula),mu[2],100,0.5,A,200,200,0.01129265722534905,0.01129265722534905,0.935,0.11081783111493317,0.10316192236229746,0.1102409523988641,-0.00707903003656663,0,0,1.0012114239881695
2,NC (Clayton copula),phi11,100,0.5,A,200,200,-0.04718278630095858,-0.11795696575239643,0.915,0.11274796527786517,0.09591330971114286,0.10240062671281248,-0.00648731700166962,0,0,1.0012114239881695
2,NC (Clayton copula),phi12,100,0.5,A,200,200,0.00134254547845888,0.0134254547845888,0.95,0.09927162192134176,0.09679006045327372,0.0992625432402983,-0.00247248278702458,0,0,1.0012114239881695
2,NC (Clayton copula),phi21,100,0.5,A,200,200,-0.01172756457472287,-0.11727564574722874,0.965,0.09893027271219608,0.0959729412645142,0.09823269867032663,-0.00225975740581242,0,0,1.0012114239881695
2,NC (Clayton copula),phi22,100,0.5,A,200,200,-0.03775500555503278,-0.09438751388758194,0.955,0.09608965078896677,0.09606248141273716,0.08836164634209248,0.00770083507064467,0,0,1.0012114239881695
2,NC (Clayton copula),sigma[1],100,0.5,A,200,200,0.01424287777444183,0.01424287777444183,0.925,0.07670446012111778,0.07263246492967254,0.07537051568865945,-0.0027380507589869,0,0,1.0012114239881695
2,NC (Clayton copula),sigma[2],100,0.5,A,200,200,0.00862500824604223,0.00862500824604223,0.95,0.07109941074096895,0.07214888851667156,0.0705743256465743,0.00157456287009725,0,0,1.0012114239881695
