condition_id,Model,param,T,theta,N_valid,N_truth_avail,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat
1,Normal-Clayton (NC),mu[1],50,0.5,200,200,-0.00609540066245229,0.925,0.15749464092511364,0.14933726199532124,0.15737664379092173,-0.00803938179560048,0,0,1.000954428654514
1,Normal-Clayton (NC),mu[2],50,0.5,200,200,-0.02040525307200951,0.95,0.14682810964245246,0.14968787602894362,0.1454032992343822,0.00428457679456142,0,0,1.000954428654514
1,Normal-Clayton (NC),phi11,50,0.5,200,200,-0.1915817935999376,0.945,0.14543978005349792,0.13737008183507368,0.12361292909633197,0.01375715273874173,0,0,1.000954428654514
1,Normal-Clayton (NC),phi12,50,0.5,200,200,-0.00614820258204367,0.955,0.1258990302289267,0.13590365518106357,0.12589752900130446,0.0100061261797591,0,0,1.000954428654514
1,Normal-Clayton (NC),phi21,50,0.5,200,200,-0.33820096058459986,0.925,0.14916623759737688,0.1380717983682943,0.14528168343447026,-0.00720988506617595,0,0,1.000954428654514
1,Normal-Clayton (NC),phi22,50,0.5,200,200,-0.11688365891500915,0.93,0.14696770777397222,0.13527562298870882,0.13933276991762586,-0.00405714692891703,0,0,1.000954428654514
1,Normal-Clayton (NC),sigma[1],50,0.5,200,200,0.01733161268790191,0.97,0.09852287958712186,0.10510816757486709,0.09698645783703554,0.00812170973783155,0,0,1.000954428654514
1,Normal-Clayton (NC),sigma[2],50,0.5,200,200,0.02045797194918889,0.94,0.10449477833747946,0.1055588293771077,0.10247258210626473,0.00308624727084298,0,0,1.000954428654514
1,Normal-Clayton (NC),theta,50,0.5,200,200,0.13215476799683695,0.99,0.2157940538076246,0.23816562632946048,0.2054284619585454,0.03273716437091509,0,0,1.000954428654514
1,Normal-Gaussian (NG),mu[1],50,0.5,200,200,0.00408409956151455,0.935,0.15837675929182876,0.14961682578325333,0.15832409170607453,-0.0087072659228212,0,0,1.0009040138213432
1,Normal-Gaussian (NG),mu[2],50,0.5,200,200,-0.01005856901521118,0.945,0.14654311800770362,0.1499859859883167,0.1461975055354433,0.00378848045287336,0,0,1.0009040138213432
1,Normal-Gaussian (NG),phi11,50,0.5,200,200,-0.19699496410934256,0.94,0.14988993484969054,0.1401097303756814,0.12750635289166531,0.01260337748401607,0,0,1.0009040138213432
1,Normal-Gaussian (NG),phi12,50,0.5,200,200,0.04504434400307587,0.97,0.13060795247762405,0.1389321950632069,0.13053025442835323,0.00840194063485363,0,0,1.0009040138213432
1,Normal-Gaussian (NG),phi21,50,0.5,200,200,-0.29853204680910994,0.93,0.15021624811788276,0.14088518642888193,0.1472199285725032,-0.00633474214362128,0,0,1.0009040138213432
1,Normal-Gaussian (NG),phi22,50,0.5,200,200,-0.11491865970798136,0.93,0.14437557031745196,0.13857137523613225,0.13686233071461593,0.00170904452151632,0,0,1.0009040138213432
1,Normal-Gaussian (NG),rho,50,0.5,200,0,NA,NA,NA,0.12689505279615612,0.13478635781114687,-0.00789130501499074,0,0,1.0009040138213432
1,Normal-Gaussian (NG),sigma[1],50,0.5,200,200,0.01363096812313441,0.965,0.10358743022866304,0.10625750616302322,0.10268667104061864,0.00357083512240456,0,0,1.0009040138213432
1,Normal-Gaussian (NG),sigma[2],50,0.5,200,200,0.01547819675004162,0.95,0.10351449839979912,0.10633119087353084,0.10235075380440056,0.00398043706913027,0,0,1.0009040138213432
2,Normal-Clayton (NC),mu[1],100,0.5,200,200,0.01267041967206804,0.93,0.11184192887189927,0.1036099203329862,0.11112190386742232,-0.00751198353443612,0,0,1.0007933488419127
2,Normal-Clayton (NC),mu[2],100,0.5,200,200,0.01109043324421549,0.935,0.11066391824629261,0.10317679902933796,0.11010678949128312,-0.00692999046194516,0,0,1.0007933488419127
2,Normal-Clayton (NC),phi11,100,0.5,200,200,-0.11797864368443292,0.915,0.11260927148332721,0.09598354109906788,0.10224389647067814,-0.00626035537161025,0,0,1.0007933488419127
2,Normal-Clayton (NC),phi12,100,0.5,200,200,0.01365234268480315,0.95,0.09919109855372867,0.09685924101696324,0.09918170278679268,-0.00232246176982942,0,0,1.0007933488419127
2,Normal-Clayton (NC),phi21,100,0.5,200,200,-0.11609165973147569,0.97,0.09903967443949493,0.0960143695973668,0.09835692338869216,-0.00234255379132537,0,0,1.0007933488419127
2,Normal-Clayton (NC),phi22,100,0.5,200,200,-0.0945161805441592,0.945,0.09620830300720133,0.09596695974037246,0.08846868500198525,0.00749827473838721,0,0,1.0007933488419127
2,Normal-Clayton (NC),sigma[1],100,0.5,200,200,0.01425964497833637,0.925,0.07657675424171324,0.07257592217758274,0.07523736980575246,-0.00266144762816972,0,0,1.0007933488419127
2,Normal-Clayton (NC),sigma[2],100,0.5,200,200,0.00845995373049603,0.955,0.07118900864598014,0.07215627807806188,0.07068453957461492,0.00147173850344696,0,0,1.0007933488419127
2,Normal-Clayton (NC),theta,100,0.5,200,200,0.06936815763600819,0.965,0.17666040536267774,0.17191747681658714,0.17322215071823838,-0.00130467390165123,0,0,1.0007933488419127
2,Normal-Gaussian (NG),mu[1],100,0.5,200,200,0.0188026927387023,0.935,0.11362563227858226,0.1038362953633048,0.11205910519222231,-0.0082228098289175,0,0,1.0008102622168364
2,Normal-Gaussian (NG),mu[2],100,0.5,200,200,0.01713530204156676,0.935,0.11281368278791262,0.1034282873086386,0.11150474630308815,-0.00807645899444955,0,0,1.0008102622168364
