condition_id,Model,param,mcmc_status,T,theta,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
1,Normal–Gaussian (NG),rho,Clean,50,0.5,200,NA,NA,NA,0.12689505279615612,0.13478635781114687,-0.007891305014990746
1,Normal–Gaussian (NG),sigma[1],Clean,50,0.5,200,0.013630968123134432,0.9650000000000001,0.10358743022866305,0.10625750616302322,0.10268667104061865,0.003570835122404567
1,Normal–Gaussian (NG),sigma[2],Clean,50,0.5,200,0.015478196750041624,0.95,0.10351449839979912,0.10633119087353084,0.10235075380440056,0.003980437069130274
1,Normal–Gaussian (NG),mu[1],Clean,50,0.5,200,0.004084099561514552,0.935,0.15837675929182876,0.14961682578325333,0.15832409170607453,-0.0087072659228212
1,Normal–Gaussian (NG),mu[2],Clean,50,0.5,200,-0.010058569015211188,0.9450000000000001,0.14654311800770362,0.1499859859883167,0.14619750553544333,0.0037884804528733607
1,Normal–Gaussian (NG),phi11,Clean,50,0.5,200,-0.19699496410934259,0.94,0.14988993484969054,0.1401097303756814,0.12750635289166531,0.012603377484016076
1,Normal–Gaussian (NG),phi12,Clean,50,0.5,200,0.045044344003075866,0.97,0.13060795247762408,0.1389321950632069,0.13053025442835325,0.008401940634853639
1,Normal–Gaussian (NG),phi21,Clean,50,0.5,200,-0.2985320468091099,0.9299999999999999,0.15021624811788276,0.14088518642888193,0.1472199285725032,-0.006334742143621286
1,Normal–Gaussian (NG),phi22,Clean,50,0.5,200,-0.11491865970798137,0.9299999999999999,0.14437557031745196,0.13857137523613225,0.13686233071461593,0.001709044521516323
1,Normal–Clayton (NC),theta,Clean,50,0.5,200,0.13215476799683695,0.99,0.2157940538076246,0.23816562632946048,0.2054284619585454,0.03273716437091509
1,Normal–Clayton (NC),sigma[1],Clean,50,0.5,200,0.01733161268790191,0.97,0.09852287958712187,0.10510816757486709,0.09698645783703555,0.008121709737831537
1,Normal–Clayton (NC),sigma[2],Clean,50,0.5,200,0.020457971949188896,0.94,0.10449477833747942,0.1055588293771077,0.1024725821062647,0.003086247270843001
1,Normal–Clayton (NC),mu[1],Clean,50,0.5,200,-0.006095400662452294,0.925,0.15749464092511364,0.14933726199532124,0.15737664379092173,-0.008039381795600486
1,Normal–Clayton (NC),mu[2],Clean,50,0.5,200,-0.02040525307200951,0.95,0.14682810964245246,0.14968787602894362,0.1454032992343822,0.004284576794561429
1,Normal–Clayton (NC),phi11,Clean,50,0.5,200,-0.1915817935999376,0.9450000000000001,0.1454397800534979,0.13737008183507368,0.12361292909633195,0.01375715273874173
1,Normal–Clayton (NC),phi12,Clean,50,0.5,200,-0.006148202582043654,0.955,0.1258990302289267,0.13590365518106357,0.12589752900130446,0.0100061261797591
1,Normal–Clayton (NC),phi21,Clean,50,0.5,200,-0.33820096058459986,0.925,0.14916623759737688,0.1380717983682943,0.14528168343447026,-0.007209885066175953
1,Normal–Clayton (NC),phi22,Clean,50,0.5,200,-0.11688365891500915,0.9299999999999999,0.14696770777397222,0.13527562298870882,0.13933276991762586,-0.004057146928917038
2,Normal–Gaussian (NG),rho,Clean,100,0.5,200,NA,NA,NA,0.0900914189030794,0.09640248042118221,-0.006311061518102817
2,Normal–Gaussian (NG),sigma[1],Clean,100,0.5,200,0.010417188575752738,0.9450000000000001,0.07706236975357024,0.07324871189297999,0.07635503267115523,-0.003106320778175242
2,Normal–Gaussian (NG),sigma[2],Clean,100,0.5,200,0.00602450721343469,0.94,0.07270212006911086,0.07290731050773125,0.07245207778510349,4.5523272262776304e-4
2,Normal–Gaussian (NG),mu[1],Clean,100,0.5,200,0.018802692738702307,0.935,0.11362563227858226,0.10383629536330481,0.11205910519222231,-0.008222809828917502
2,Normal–Gaussian (NG),mu[2],Clean,100,0.5,200,0.017135302041566765,0.935,0.11281368278791264,0.10342828730863861,0.11150474630308817,-0.008076458994449559
2,Normal–Gaussian (NG),phi11,Clean,100,0.5,200,-0.117100240913118,0.925,0.1141053045708969,0.09854581472359666,0.10404819029522572,-0.0055023755716290534
2,Normal–Gaussian (NG),phi12,Clean,100,0.5,200,-1.0248688763606406e-4,0.9450000000000001,0.10051686580655035,0.0991797613036496,0.10051686528407275,-0.0013371039804231516
