condition_id,Model,param,mcmc_status,T,theta,VARset,N_valid,mean_bias,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
2,NC (Clayton copula),phi21,Clean,100,0.5,A,200,-0.011727564574722875,-0.11727564574722874,0.965,0.09893027271219608,0.09597294126451421,0.09823269867032663,-0.0022597574058124265
2,NC (Clayton copula),phi22,Clean,100,0.5,A,200,-0.037755005555032785,-0.09438751388758194,0.955,0.09608965078896677,0.09606248141273716,0.08836164634209248,0.007700835070644674
2,NC (Clayton copula),sigma[1],Clean,100,0.5,A,200,0.01424287777444183,0.01424287777444183,0.925,0.07670446012111781,0.07263246492967254,0.07537051568865946,-0.0027380507589869207
2,NC (Clayton copula),sigma[2],Clean,100,0.5,A,200,0.008625008246042237,0.008625008246042237,0.95,0.07109941074096895,0.07214888851667156,0.0705743256465743,0.0015745628700972597
2,NC (Clayton copula),theta,Clean,100,0.5,A,200,0.03458860754777716,0.06917721509555431,0.96,0.1766887110214823,0.1717275371270021,0.17327010368306106,-0.0015425665560589719
2,NG (Gaussian copula),mu[1],Clean,100,0.5,A,200,0.01873204700869532,0.01873204700869532,0.94,0.11361424287332628,0.10378156427623239,0.11205938871216102,-0.00827782443592863
2,NG (Gaussian copula),mu[2],Clean,100,0.5,A,200,0.01722276458901013,0.01722276458901013,0.935,0.11290636940651373,0.1032285294715692,0.11158505559648961,-0.00835652612492041
2,NG (Gaussian copula),phi11,Clean,100,0.5,A,200,-0.046795128893101515,-0.11698782223275378,0.93,0.1143414395020649,0.09852504555953111,0.10432727687082792,-0.005802231311296813
2,NG (Gaussian copula),phi12,Clean,100,0.5,A,200,-9.244496641906398e-5,-9.244496641906494e-4,0.95,0.10065446376057183,0.0992878848575477,0.10065442130804017,-0.0013665364504924643
2,NG (Gaussian copula),phi21,Clean,100,0.5,A,200,-0.011527463489605008,-0.11527463489605008,0.975,0.1001255549888285,0.09842716071584373,0.09945976245355075,-0.0010326017377070146
2,NG (Gaussian copula),phi22,Clean,100,0.5,A,200,-0.040380849870416756,-0.10095212467604188,0.955,0.0996681596401308,0.09867722179024381,0.09112150684549429,0.00755571494474952
2,NG (Gaussian copula),sigma[1],Clean,100,0.5,A,200,0.010452263634462071,0.010452263634462071,0.935,0.07704870267290634,0.07311206557256164,0.07633644456282744,-0.0032243789902658
2,NG (Gaussian copula),sigma[2],Clean,100,0.5,A,200,0.00592033163301077,0.00592033163301077,0.945,0.07267102450776361,0.07286779859926072,0.07242946552586972,4.383330733910007e-4
2,NG (Gaussian copula),rho,Clean,100,0.5,A,200,NA,NA,NA,NA,0.08999796110275225,0.09634953511397067,-0.006351574011218414
3,NC (Clayton copula),mu[1],Clean,200,0.5,A,200,-0.003667061145594886,-0.003667061145594886,0.945,0.07716245557031863,0.07174812921806893,0.07707526978347766,-0.005327140565408728
3,NC (Clayton copula),mu[2],Clean,200,0.5,A,200,0.0012133244961970095,0.0012133244961970095,0.97,0.06821629770565826,0.07166467094968906,0.0682055064956923,0.0034591644539967575
3,NC (Clayton copula),phi11,Clean,200,0.5,A,200,-0.015080116439993938,-0.037700291099984844,0.97,0.061728951134290284,0.0674907965390118,0.05985861254903777,0.007632183989974027
3,NC (Clayton copula),phi12,Clean,200,0.5,A,200,0.0022556007928327135,0.022556007928327126,0.93,0.06841356695628402,0.06779281067860772,0.06837637317630506,-5.835624976973375e-4
3,NC (Clayton copula),phi21,Clean,200,0.5,A,200,-0.001784966030519113,-0.017849660305191133,0.965,0.06389721405094473,0.06734615431519961,0.06387227770905106,0.0034738766061485488
3,NC (Clayton copula),phi22,Clean,200,0.5,A,200,-0.015851257610833974,-0.039628144027084936,0.94,0.06942994313113822,0.06747938360121358,0.06759626199242133,-1.1687839120774757e-4
3,NC (Clayton copula),sigma[1],Clean,200,0.5,A,200,0.005276208211069142,0.005276208211069142,0.94,0.0532005229771339,0.05005796319256792,0.05293824016676413,-0.002880276974196211
3,NC (Clayton copula),sigma[2],Clean,200,0.5,A,200,0.005221585926145892,0.005221585926145892,0.93,0.05008697607674457,0.050259603229371126,0.0498140563789806,4.455468503905269e-4
3,NC (Clayton copula),theta,Clean,200,0.5,A,200,0.021117216061651047,0.04223443212330209,0.965,0.1172032106032195,0.12310459274920281,0.11528510641669275,0.007819486332510062
3,NG (Gaussian copula),mu[1],Clean,200,0.5,A,200,-0.0016115994880470446,-0.0016115994880470446,0.935,0.07725449584033323,0.07187224186974267,0.07723768429098707,-0.0053654424212443985
3,NG (Gaussian copula),mu[2],Clean,200,0.5,A,200,0.003707054518873033,0.003707054518873033,0.965,0.06873185137960201,0.07191482633320706,0.06863180852098975,0.0032830178122173065
3,NG (Gaussian copula),phi11,Clean,200,0.5,A,200,-0.014570207017060223,-0.036425517542650554,0.965,0.06348858262255999,0.06944803710313376,0.06179408702215476,0.007653950080978994
3,NG (Gaussian copula),phi12,Clean,200,0.5,A,200,0.0011866351806990567,0.011866351806990569,0.93,0.06881359915131234,0.0697850487700591,0.06880336710587223,9.816816641868703e-4
3,NG (Gaussian copula),phi21,Clean,200,0.5,A,200,-9.455974352829387e-4,-0.009455974352829381,0.975,0.06400669150423446,0.06949543766053484,0.06399970627126836,0.005495731389266484
3,NG (Gaussian copula),phi22,Clean,200,0.5,A,200,-0.017359061167966944,-0.04339765291991736,0.935,0.07128167976910506,0.06948153914593945,0.06913566999799758,3.4586914794186574e-4
3,NG (Gaussian copula),sigma[1],Clean,200,0.5,A,200,0.0041238430038856595,0.0041238430038856595,0.935,0.05461859852080999,0.05080224118876363,0.05446269570317586,-0.0036604545144122355
3,NG (Gaussian copula),sigma[2],Clean,200,0.5,A,200,0.0035178113934573258,0.0035178113934573258,0.935,0.05081663929709689,0.050749004418912884,0.05069473180174952,5.4272617163363124e-5
3,NG (Gaussian copula),rho,Clean,200,0.5,A,200,NA,NA,NA,NA,0.0633850203597377,0.07103985016735002,-0.007654829807612326
4,NC (Clayton copula),mu[1],Clean,50,1,A,200,0.013426311743389006,0.013426311743389006,0.925,0.16835739375101774,0.1474093837093085,0.1678211732279469,-0.020411789518638396
4,NC (Clayton copula),mu[2],Clean,50,1,A,200,0.00821772132886923,0.00821772132886923,0.93,0.16773267906466158,0.14792557320205763,0.1675312528526239,-0.019605679650566282
4,NC (Clayton copula),phi11,Clean,50,1,A,200,-0.07023869077616382,-0.17559672694040954,0.965,0.14109252944700285,0.14368654736100683,0.12236677728780719,0.021319770073199643
4,NC (Clayton copula),phi12,Clean,50,1,A,200,0.008607744720812695,0.08607744720812695,0.98,0.131238976649577,0.1434806700922173,0.13095638862938128,0.012524281462836018
4,NC (Clayton copula),phi21,Clean,50,1,A,200,-0.0019053116571310063,-0.01905311657131007,0.965,0.13986626554551032,0.145021353375204,0.13985328750206916,0.005168065873134842
4,NC (Clayton copula),phi22,Clean,50,1,A,200,-0.07886428781940048,-0.1971607195485012,0.955,0.15435371662666775,0.1447597520392001,0.1326856960761197,0.012074055963080393
4,NC (Clayton copula),sigma[1],Clean,50,1,A,200,0.0025119862933871482,0.0025119862933871482,0.955,0.09720960639231405,0.10129264240425215,0.09717714494576622,0.0041154974584859255
4,NC (Clayton copula),sigma[2],Clean,50,1,A,200,0.005234214972461718,0.005234214972461718,0.98,0.09588093061022399,0.10130637012179451,0.09573795406370791,0.005568416058086598
