Model_Type,Margin_Fitted,T,Pattern,param,mean_rel_bias,coverage_95,RMSE,N
Constant,Normal,200,Random Walk,phi21,0.060422844816820184,0.9525,0.08238363125043517,400
Constant,Normal,200,Random Walk,phi22,-0.06872151487120812,0.96,0.0846252160841656,400
TVP,Exponential,100,Constant,phi11,-0.011920523763561711,0.96,0.024375139775045514,200
TVP,Exponential,100,Constant,phi12,0.040267957139133635,0.96,0.024116173015656727,200
TVP,Exponential,100,Constant,phi21,0.002104472712967196,0.975,0.02705214184306228,200
TVP,Exponential,100,Constant,phi22,-0.006839194280590185,0.94,0.028029767697010623,200
TVP,Exponential,100,Linear,phi11,-0.00666608936466378,0.955,0.02360274615869377,200
TVP,Exponential,100,Linear,phi12,-0.004924193606404924,0.955,0.02332015628817694,200
TVP,Exponential,100,Linear,phi21,-0.0095552446960975,0.95,0.025537736081772445,200
TVP,Exponential,100,Linear,phi22,-0.009810557092191929,0.965,0.024946905481836066,200
TVP,Exponential,100,Step,phi11,-0.014181455533958946,0.955,0.031593548060395556,200
TVP,Exponential,100,Step,phi12,0.04111940347244185,0.95,0.030182214318660715,200
TVP,Exponential,100,Step,phi21,0.026784723713291707,0.965,0.028101108618414427,200
TVP,Exponential,100,Step,phi22,-0.009903294325099593,0.975,0.025478872753590592,200
TVP,Exponential,100,Random Walk,phi11,-0.0028575851311984485,0.975,0.026110468386890268,200
TVP,Exponential,100,Random Walk,phi12,0.01425535986613486,0.94,0.030572920340266565,200
TVP,Exponential,100,Random Walk,phi21,0.026123980848434206,0.955,0.028067758883538175,200
TVP,Exponential,100,Random Walk,phi22,-0.0053856972931286915,0.95,0.025767837113041012,200
TVP,Exponential,200,Constant,phi11,-0.001613207607528958,0.955,0.012797293265506073,200
TVP,Exponential,200,Constant,phi12,0.004550458474967282,0.965,0.011283031081759088,200
TVP,Exponential,200,Constant,phi21,-0.008038807439598087,0.945,0.01277567377850856,200
TVP,Exponential,200,Constant,phi22,-0.0010743595483796665,0.94,0.011780207534817845,200
TVP,Exponential,200,Linear,phi11,-0.0053436068696737,0.98,0.012241969723710703,200
TVP,Exponential,200,Linear,phi12,0.013944589164952103,0.96,0.012027854707031563,200
TVP,Exponential,200,Linear,phi21,-0.0074621897868383654,0.95,0.01084810880616026,200
TVP,Exponential,200,Linear,phi22,3.123054328291058e-4,0.96,0.012293033940070409,200
TVP,Exponential,200,Step,phi11,-3.3715199587449495e-4,0.975,0.012626044757698497,200
TVP,Exponential,200,Step,phi12,-9.501388428818731e-4,0.96,0.013025174504711986,200
TVP,Exponential,200,Step,phi21,-0.012466751524091092,0.975,0.010952771554316624,200
TVP,Exponential,200,Step,phi22,-0.001243742812648953,0.97,0.011040091814715483,200
TVP,Exponential,200,Random Walk,phi11,-0.004074995566922772,0.975,0.012118173529954097,200
TVP,Exponential,200,Random Walk,phi12,0.001367991227102918,0.965,0.01223756222972066,200
TVP,Exponential,200,Random Walk,phi21,0.0026042525058276294,0.95,0.01262317509695714,200
TVP,Exponential,200,Random Walk,phi22,1.5348723051983253e-5,0.975,0.012259681531725021,200
TVP,Normal,100,Constant,phi11,-0.11844748919210052,0.935,0.11338109868600774,400
TVP,Normal,100,Constant,phi12,-0.04861638838735814,0.9325,0.10863705590486382,400
TVP,Normal,100,Constant,phi21,-0.05719462775591334,0.9625,0.10284096050605877,400
TVP,Normal,100,Constant,phi22,-0.10132881828337886,0.95,0.1051956405957416,400
TVP,Normal,100,Linear,phi11,-0.10291686914966165,0.9525,0.09910135869593088,400
TVP,Normal,100,Linear,phi12,-0.022295166363985677,0.955,0.09518928877123366,400
TVP,Normal,100,Linear,phi21,-0.11007620714675623,0.9575,0.10339117052678064,400
TVP,Normal,100,Linear,phi22,-0.09963756005886787,0.94,0.10566718131326142,400
TVP,Normal,100,Step,phi11,-0.1026517828925372,0.96,0.10944282526602453,400
TVP,Normal,100,Step,phi12,-0.017245714517757756,0.965,0.10336334699633364,400
TVP,Normal,100,Step,phi21,-0.11078435861868983,0.9525,0.10967027622380217,400
TVP,Normal,100,Step,phi22,-0.06946529322236539,0.9575,0.10671130238389989,400
TVP,Normal,100,Random Walk,phi11,-0.11019027563509032,0.9675,0.10787118159130737,400
TVP,Normal,100,Random Walk,phi12,0.007796237148591369,0.95,0.10577010573317011,400
TVP,Normal,100,Random Walk,phi21,-0.1310381242480649,0.965,0.10658376658845486,400
TVP,Normal,100,Random Walk,phi22,-0.08040105050385453,0.9475,0.11019668247605151,400
TVP,Normal,200,Constant,phi11,-0.04099802151117136,0.9425,0.07732821249626776,400
TVP,Normal,200,Constant,phi12,0.009172230975340517,0.9575,0.0780642899564742,400
TVP,Normal,200,Constant,phi21,-0.06919208106230984,0.9225,0.07964529990627753,400
TVP,Normal,200,Constant,phi22,-0.031003224993417747,0.965,0.07379952486612984,400
TVP,Normal,200,Linear,phi11,-0.077436468875988193,0.9475,0.07368845670419025,400
TVP,Normal,200,Linear,phi12,0.03139704074218275,0.9525,0.06851036002352158,400
TVP,Normal,200,Linear,phi21,-0.08668632032505494,0.935,0.07443567562834802,400
TVP,Normal,200,Linear,phi22,-0.04597587889910217,0.9575,0.06974043096586757,400
TVP,Normal,200,Step,phi11,-0.04201941766232044,0.9525,0.07403103709497938,400
TVP,Normal,200,Step,phi12,-0.02920920768111887,0.965,0.07335735107222725,400
TVP,Normal,200,Step,phi21,-0.022863223030877317,0.9625,0.07263813707085486,400
TVP,Normal,200,Step,phi22,-0.05183504749037831,0.9625,0.07218943924703118,400
TVP,Normal,200,Random Walk,phi11,-0.033950509575277475,0.96,0.07846583416952393,400
TVP,Normal,200,Random Walk,phi12,-0.10447747893081745,0.965,0.08119900476163168,400
TVP,Normal,200,Random Walk,phi21,0.07222684852162606,0.945,0.08153660428219243,400
TVP,Normal,200,Random Walk,phi22,-0.07071766840920615,0.9575,0.08485007977304045,400
