condition_id,model,param,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,mean_n_div
1,NG,mu[1],-0.004247665581624058,0.935,0.15100423411660802,0.1583679990430452,-0.007363764926437172,0
1,NG,mu[2],-0.0015635747290804092,0.925,0.1510628794905057,0.17879903682480133,-0.02773615733429563,0
1,NG,phi11,-0.1929848196980382,0.955,0.14054016290387314,0.11890024781702424,0.0216399150868489,0
1,NG,phi12,-0.10976684007559598,0.965,0.14193859171619302,0.13322980921444513,0.008708782501747891,0
1,NG,phi21,-0.06477510191080735,0.945,0.14144348837157422,0.1428113196969065,-0.001367831325332275,0
1,NG,phi22,-0.2142828263327246,0.9,0.14054622448513468,0.13646567515764707,0.004080549327487609,0
1,NG,rho,-0.12410524645361634,0.935,0.12729638844375019,0.12833377814490335,-0.001037389701153163,0
1,NG,sigma[1],0.012414905689724809,0.905,0.10617130488553535,0.11841802801176418,-0.012246723126228834,0
1,NG,sigma[2],0.011765353598005257,0.9,0.10601345505883529,0.12091384529533677,-0.014900390236501485,0
1,SG,delta[1],-0.7014279070279025,0.495,0.4477018637659775,0.2338126234860837,0.21388924027989378,0.48
1,SG,delta[2],-0.7440320742244427,0.44,0.4557497607716087,0.18760292583672747,0.26814683493488123,0.48
1,SG,mu[1],-0.0028736280226298555,0.935,0.14701800175531765,0.15657107233606787,-0.009553070580750223,0.48
1,SG,mu[2],-0.0020904959125922274,0.915,0.14800971306429228,0.17778559228908286,-0.02977587922479058,0.48
1,SG,omega[1],0.16953298375609024,0.86,0.1984604680121774,0.19070312050602756,0.007757347506149842,0.48
1,SG,omega[2],0.15051785411681892,0.88,0.1954242308965689,0.17691067738807295,0.018513553508495956,0.48
1,SG,phi11,-0.1804819867985296,0.955,0.13613212913929756,0.11589078909759798,0.020241340041699585,0.48
1,SG,phi12,-0.1038767272544903,0.96,0.13678874877395936,0.1271536425559785,0.00963510621798086,0.48
1,SG,phi21,-0.07515812007005791,0.95,0.1381065967879754,0.13780300101148457,3.035957764908337e-4,0.48
1,SG,phi22,-0.20764902044909675,0.91,0.1377292102825228,0.13179604125204947,0.005933169030473334,0.48
1,SG,rho,-0.12282725360827251,0.94,0.12600949479794124,0.1263737636981251,-3.642689001838728e-4,0.48
2,NG,mu[1],0.019422023070995515,0.96,0.14933451617372112,0.15427637856198823,-0.004941862388267104,0
2,NG,mu[2],0.003778283858125382,0.96,0.14895911097335784,0.1430755820515814,0.005883528921776432,0
2,NG,phi11,-0.1884906290259939,0.95,0.14024767700148752,0.12341842989597125,0.016829247105516268,0
2,NG,phi12,-0.13319467711976213,0.96,0.1410399056679689,0.13459733270525495,0.006442572962713944,0
2,NG,phi21,-0.1175260510996421,0.95,0.14102068294590564,0.13521322300507677,0.005807459940828874,0
2,NG,phi22,-0.15352204756988677,0.95,0.13921204249568706,0.12730881015931966,0.011903232336367392,0
2,NG,rho,-0.13633140245894532,0.955,0.1277193173834867,0.12191725983249821,0.005802057550988504,0
2,NG,sigma[1],0.012040625313304172,0.92,0.10609124614971004,0.11763216047690271,-0.011540914327192675,0
2,NG,sigma[2],0.010837538076162983,0.89,0.10605022390346011,0.12857608742904456,-0.022525863525584444,0
2,SG,delta[1],-0.5882971098541666,0.43,0.43910915556626423,0.2789255794418368,0.1601835761244274,11.8
2,SG,delta[2],-0.5592900407033912,0.475,0.448732875906927,0.25886429925662285,0.18986857665030415,11.8
2,SG,mu[1],0.02157810682744457,0.955,0.14233591441870222,0.14942323656237452,-0.007087322143672303,11.8
2,SG,mu[2],0.005039190022691598,0.96,0.14181484474687345,0.14104266659631542,7.721781505580227e-4,11.8
2,SG,omega[1],0.22172843228466496,0.82,0.21369146569230432,0.2206372498469578,-0.006945784154653467,11.8
2,SG,omega[2],0.23542469290191578,0.79,0.22137749996658168,0.22607605726659483,-0.004698557300013145,11.8
2,SG,phi11,-0.16167507822372057,0.965,0.13144981411307574,0.11463621244925022,0.01681360166382552,11.8
2,SG,phi12,-0.14385179204931334,0.96,0.13083235086701292,0.12170420483611183,0.009128146030901091,11.8
2,SG,phi21,-0.08160410074028027,0.955,0.13094157264623288,0.1221907997909744,0.008750772855258479,11.8
2,SG,phi22,-0.15022489522851273,0.95,0.13224390051804513,0.11306594976641988,0.019177950751625247,11.8
