model,condition_id,rep_id,status,n_div,max_rhat
EI,1,26,ok,0,1.0061767348933424
EL,1,26,ok,0,1.0038906040121147
EI,1,27,ok,0,1.0039312907392408
EL,1,27,ok,0,1.0025585799767438
EI,1,28,ok,0,1.0039141023341491
EL,1,28,ok,0,1.000828745950985
EI,1,29,ok,1,1.0055630979385688
EL,1,29,ok,0,1.0007003144351314
EI,1,30,ok,0,1.0026434766687908
EL,1,30,ok,0,1.0007059945044914
EI,1,31,ok,0,1.0212964240290012
EL,1,31,ok,0,1.001206545170806
EI,1,32,ok,0,1.0032008927793445
EL,1,32,ok,0,1.0015244368448732
EI,1,33,ok,0,1.0211330248166968
EL,1,33,ok,0,1.0007353645829185
EI,1,34,ok,0,1.0054784519110338
EL,1,34,ok,0,1.0011560795288679
EI,1,35,ok,0,1.002028936863769
EL,1,35,ok,0,1.0020908134378257
EI,1,36,ok,0,1.003750895417857
EL,1,36,ok,0,1.0006320136846314
EI,1,37,ok,0,1.0071581915794483
EL,1,37,ok,0,1.000263542743727
EI,1,38,ok,0,1.004575228960011
EL,1,38,ok,0,1.0012268246879683
EI,1,39,ok,0,1.0064544687289982
EL,1,39,ok,0,1.000330003437598
EI,1,40,ok,0,1.010657424280098
EL,1,40,ok,0,1.0010585396352456
EI,1,41,ok,0,1.0052118195721758
EL,1,41,ok,0,1.0006399935980252
EI,1,42,ok,0,1.001732447394216
EL,1,42,ok,0,1.0007059747392284
EI,1,43,ok,0,1.0037187889669732
EL,1,43,ok,0,1.0008033251985913
EI,1,44,ok,0,1.0036847244126246
EL,1,44,ok,0,1.0007709152520978
EI,1,45,ok,0,1.0045628840360061
EL,1,45,ok,0,1.0003366736349735
EI,1,46,ok,0,1.003187531972409
EL,1,46,ok,0,1.0018259277391917
EI,1,47,ok,0,1.0075840174214725
EL,1,47,ok,0,1.0012862133221778
EI,1,48,ok,0,1.0037179989097067
EL,1,48,ok,0,1.0016462417650367
EI,1,49,ok,0,1.0020130241738237
EL,1,49,ok,0,1.0004301054256022
EI,1,50,ok,0,1.012018696186578
EL,1,50,ok,0,1.00065046299133
EI,1,51,ok,0,1.0062385739198734
EL,1,51,ok,0,1.0010016400156636
EI,1,52,ok,0,1.0048265110331733
EL,1,52,ok,0,1.0011046267425985
EI,1,53,ok,0,1.006700443884327
EL,1,53,ok,0,1.0016310747148054
EI,1,54,ok,0,1.1007860704515666
EL,1,54,ok,0,1.0032098917940113
EI,1,55,ok,0,1.0046388804893498
EL,1,55,ok,0,1.0009029266569993
EI,1,56,ok,0,1.0037153393690224
EL,1,56,ok,0,1.0018954973854122
EI,1,57,ok,1,1.006129120795349
EL,1,57,ok,0,1.0018345186916455
EI,1,58,ok,1,1.0053853041688352
EL,1,58,ok,0,1.0015909712598727
EI,1,59,ok,0,1.007993618821269
EL,1,59,ok,0,1.0007813773282332
EI,1,60,ok,0,1.0029063080548994
EL,1,60,ok,0,1.0019215269286799
EI,1,61,ok,0,1.0047475634085108
EL,1,61,ok,0,1.0011161790940581
EI,1,62,ok,0,1.002778562530501
EL,1,62,ok,0,1.0077320846692281
EI,1,63,ok,0,1.0031494950519066
EL,1,63,ok,0,1.000947304668517
EI,1,64,ok,0,1.0093404304266378
EL,1,64,ok,0,1.0013044564783713
EI,1,65,ok,0,1.0046008851912767
EL,1,65,ok,0,1.0005413225783035
EI,1,66,ok,0,1.0144256231201079
EL,1,66,ok,0,1.000664154162144
EI,1,67,ok,0,1.004126070923681
EL,1,67,ok,0,1.0012279830879354
EI,1,68,ok,0,1.1081375300083174
EL,1,68,ok,0,1.000948131822469
EI,1,69,ok,0,1.0052702769517787
EL,1,69,ok,0,1.001103733070375
EI,1,70,ok,0,1.003247875255858
EL,1,70,ok,0,1.0016634880458382
EI,1,71,ok,0,1.0121805463683946
EL,1,71,ok,0,1.0010879909536619
EI,1,72,ok,0,1.004284433567288
EL,1,72,ok,0,1.000757969877349
EI,1,73,ok,0,1.0079993363866588
EL,1,73,ok,0,1.0006667043326738
EI,1,74,ok,0,1.0036623533139493
EL,1,74,ok,0,1.001048010339489
EI,1,75,ok,0,3.7605184510571483
EL,1,75,ok,0,1.0008730103053998
EI,1,76,ok,1,1.0019191115873836
EL,1,76,ok,0,1.0008390009094161
EI,1,77,ok,0,1.0399801197463185
EL,1,77,ok,0,1.0007682352949725
EI,1,78,ok,0,1.003221195915689
EL,1,78,ok,0,1.0013277701933625
EI,1,79,ok,0,1.0039483026511533
EL,1,79,ok,0,1.0014594223432907
EI,1,80,ok,0,1.006020846255055
EL,1,80,ok,0,1.000939204280357
EI,1,81,ok,0,1.004372446846116
EL,1,81,ok,0,1.001503142259638
EI,1,82,ok,0,1.0030333182054778
EL,1,82,ok,0,1.0012887272079172
EI,1,83,ok,0,1.0043812970681465
EL,1,83,ok,0,1.0023724638821683
EI,1,84,ok,0,1.0039353931089927
EL,1,84,ok,0,1.0009596956237505
EI,1,85,ok,0,1.0272278578284495
EL,1,85,ok,0,1.001806615155233
EI,1,86,ok,0,1.0043146396427114
EL,1,86,ok,0,1.0015674122107265
EI,1,87,ok,0,1.0045129252310196
EL,1,87,ok,0,1.0019163469348273
EI,1,88,ok,0,1.003967860547875
EL,1,88,ok,0,1.0011261374093388
EI,1,89,ok,0,1.0028953289804956
EL,1,89,ok,0,1.001188690027505
EI,1,90,ok,0,1.0058252668254222
EL,1,90,ok,0,1.0005995800457705
EI,1,91,ok,0,1.0055535090933767
EL,1,91,ok,0,1.0009088604871714
EI,1,92,ok,0,1.0039827120552136
EL,1,92,ok,0,1.0034708102712435
EI,1,93,ok,0,1.0037960991008508
EL,1,93,ok,0,1.0002764829658524
EI,1,94,ok,0,1.0066990577600112
EL,1,94,ok,0,1.0005103401884792
EI,1,95,ok,0,1.0051319958125535
EL,1,95,ok,0,1.0007530225384695
EI,1,96,ok,0,1.002069844705149
EL,1,96,ok,0,1.001156659496253
EI,1,97,ok,0,1.0023107929988753
EL,1,97,ok,0,1.000679802893873
EI,1,98,ok,0,1.0040359548763187
EL,1,98,ok,0,1.0003529555324324
EI,1,99,ok,0,1.0024450124662685
EL,1,99,ok,0,1.0007818708177887
EI,1,100,ok,0,1.0059679712273148
EL,1,100,ok,0,1.0023490736829164
EI,1,101,ok,0,1.0024920943957183
EL,1,101,ok,0,1.000872092682441
EI,1,102,ok,0,1.004614951029614
EL,1,102,ok,0,1.0014061822331775
EI,1,103,ok,0,1.0064343923221226
EL,1,103,ok,0,1.0021593722932551
EI,1,104,ok,0,1.0228967288903994
EL,1,104,ok,0,1.019117277929205
EI,1,105,ok,0,1.0034156117585118
EL,1,105,ok,0,1.0010535897771324
EI,1,106,ok,0,1.0076239702930345
EL,1,106,ok,0,1.0006895059084493
EI,1,107,ok,0,1.0080146139154214
EL,1,107,ok,0,1.0005915709799604
EI,1,108,ok,0,1.0037707588839386
EL,1,108,ok,0,1.0009073678982465
EI,1,109,ok,0,1.0058363274904918
EL,1,109,ok,0,1.001376216711364
EI,1,110,ok,0,1.0045825025158273
EL,1,110,ok,0,1.0006099034835658
EI,1,111,ok,0,1.0033256721777526
EL,1,111,ok,0,1.0018285968203655
EI,1,112,ok,0,1.003414706111676
EL,1,112,ok,0,1.0004528573944405
EI,1,113,ok,0,1.012336229844661
EL,1,113,ok,0,1.0009570688465546
EI,1,114,ok,0,1.0032939630620679
EL,1,114,ok,0,1.0013517747728957
EI,1,115,ok,0,1.008848170809596
EL,1,115,ok,0,1.0001464673065326
EI,1,116,ok,0,1.0060733900872005
EL,1,116,ok,0,1.0007566884359802
EI,1,117,ok,0,1.0039600443277896
EL,1,117,ok,0,1.0007847913468522
EI,1,118,ok,0,1.0039339833038217
EL,1,118,ok,0,1.0004885540774453
EI,1,119,ok,0,1.0070289856381895
EL,1,119,ok,0,1.0055061608213307
EI,1,120,ok,0,1.0056308439545762
EL,1,120,ok,0,1.001138836844254
EI,1,121,ok,0,1.002089695343278
EL,1,121,ok,0,1.0014932981951774
EI,1,122,ok,0,1.0031195839135874
EL,1,122,ok,0,1.0029139749956686
EI,1,123,ok,0,1.0065714398495111
EL,1,123,ok,0,1.0006078442604052
EI,1,124,ok,0,1.0034356751180666
EL,1,124,ok,0,1.00128724126556
EI,1,125,ok,0,1.0124242431865185
EL,1,125,ok,0,1.0014787999667294
EI,1,126,ok,0,1.0079777130433285
EL,1,126,ok,0,1.002738914995409
EI,1,127,ok,0,1.0044134050632776
EL,1,127,ok,0,1.0013883513077555
EI,1,128,ok,0,1.0059791406763938
EL,1,128,ok,0,1.0010925698917255
EI,1,129,ok,0,1.0047560358519612
EL,1,129,ok,0,1.0006937519441435
EI,1,130,ok,0,1.0040162577093592
EL,1,130,ok,0,1.0009093511447813
EI,1,131,ok,0,1.01096296427524
EL,1,131,ok,0,1.0010792901601526
EI,1,132,ok,0,1.0065110287400558
EL,1,132,ok,0,1.001226949095375
EI,1,133,ok,0,1.0077069922421054
EL,1,133,ok,0,1.0039623875361716
EI,1,134,ok,0,1.0083195154065392
EL,1,134,ok,0,1.0013963020356993
EI,1,135,ok,0,1.0043324771594646
EL,1,135,ok,0,1.0008194711047562
EI,1,136,ok,1,1.0046716084839333
EL,1,136,ok,0,1.0011613304563223
EI,1,137,ok,0,1.004397025900054
EL,1,137,ok,0,1.0005526875173294
EI,1,138,ok,0,1.0039110408229712
EL,1,138,ok,0,1.0012172746246022
EI,1,139,ok,0,1.0047460039461393
EL,1,139,ok,0,1.000384620128272
EI,1,140,ok,0,1.003185702420042
EL,1,140,ok,0,1.0008089335836141
EI,1,141,ok,0,1.0063063759094184
EL,1,141,ok,0,1.0009269182499785
EI,1,142,ok,0,1.0097465485988555
EL,1,142,ok,0,1.0017748388339152
EI,1,143,ok,2,1.0020997825695728
EL,1,143,ok,0,1.000379022296307
EI,1,144,ok,0,1.0061500535877057
EL,1,144,ok,0,1.001894669625451
EI,1,145,ok,0,1.0090038261066978
