condition_id,model,N_expected,N_ok,N_missing_fit,N_not_ok,prop_ok
1,EI,200,200,0,0,1
1,EL,200,200,0,0,1
2,EI,200,200,0,0,1
2,EL,200,200,0,0,1
3,EI,200,200,0,0,1
3,EL,200,200,0,0,1
4,EI,200,200,0,0,1
4,EL,200,200,0,0,1
5,EI,200,200,0,0,1
5,EL,200,200,0,0,1
6,EI,200,200,0,0,1
6,EL,200,200,0,0,1
7,EI,200,200,0,0,1
7,EL,200,200,0,0,1
8,EI,200,200,0,0,1
8,EL,200,200,0,0,1
