model,condition_id,rep_id,param,post_mean,post_sd,l95,u95,truth,bias,rel_bias,cover95,n_div,max_rhat,status
EI,1,3,mu[2],0.49746068418722655,0.17730210678848804,0.15597817098903796,0.8510694977598048,0,0.49746068418722655,0.49746068418722655,0,0,1.0025666814348577,ok
EI,1,3,phi11,0.5921364892747969,0.10201071312537252,0.3825213912725647,0.7841128550627176,0.55,0.04213648927479685,0.07661179868144881,1,0,1.0025666814348577,ok
EI,1,3,phi12,0.01945683576979146,0.12777203231309195,-0.22843368257075244,0.27001132747439344,0.1,-0.08054316423020855,-0.8054316423020854,1,0,1.0025666814348577,ok
EI,1,3,phi21,0.1278060564663684,0.10813919996628232,-0.08645877114899442,0.3352556149380549,0.1,0.027806056466368384,0.27806056466368384,1,0,1.0025666814348577,ok
EI,1,3,phi22,0.380267152942335,0.1296672095271116,0.11833244851465274,0.6228634727958319,0.25,0.13026715294233498,0.5210686117693399,1,0,1.0025666814348577,ok
EI,1,3,rho,0.9305097788928821,0.025371383551577097,0.8650423349652593,0.9625001587403684,0.3,0.6305097788928822,2.101699262976274,0,0,1.0025666814348577,ok
EI,1,3,sigma_exp[1],1.4002979248830794,0.16975613571717676,1.096103499375282,1.7649164654446208,1,0.40029792488307936,0.40029792488307936,0,0,1.0025666814348577,ok
EI,1,3,sigma_exp[2],1.4408580610705854,0.17129539998236515,1.1306781643920805,1.8055429813294415,1,0.44085806107058545,0.44085806107058545,0,0,1.0025666814348577,ok
EI,1,4,mu[1],-0.010345924418571255,0.12487008409304089,-0.2537398474395865,0.23836743619155523,0,-0.010345924418571255,-0.010345924418571255,1,1,22.072491774460758,ok
EI,1,4,mu[2],-0.4240441202705649,0.1723486935372951,-0.7616994523242003,-0.08247183263413373,0,-0.4240441202705649,-0.4240441202705649,0,1,22.072491774460758,ok
EI,1,4,phi11,0.6057302566011364,0.103629833798736,0.4015542529242898,0.8080202437705787,0.55,0.055730256601136396,0.10132773927479344,1,1,22.072491774460758,ok
EI,1,4,phi12,0.09530716998089503,0.15381033910959566,-0.2110776999171112,0.3895088412599614,0.1,-0.0046928300191049765,-0.046928300191049765,1,1,22.072491774460758,ok
EI,1,4,phi21,0.015065645291729426,0.10807314936916433,-0.19786164550201202,0.22746025306874335,0.1,-0.08493435470827058,-0.8493435470827058,1,1,22.072491774460758,ok
EI,1,4,phi22,0.036128444352772564,0.16023343996417788,-0.28758073804069256,0.3328145650536769,0.25,-0.21387155564722743,-0.8554862225889097,1,1,22.072491774460758,ok
EI,1,4,rho,-0.007546888464111029,0.9081629409063584,-0.958140647593181,0.9553657705816033,0.3,-0.30754688846411105,-1.0251562948803703,1,1,22.072491774460758,ok
EI,1,4,sigma_exp[1],1.2878282344749403,0.20069239304026493,0.938510405824088,1.7176129136360105,1,0.2878282344749403,0.2878282344749403,1,1,22.072491774460758,ok
EI,1,4,sigma_exp[2],1.297650917260594,0.2365488230490895,0.8984168896865597,1.7803753123082589,1,0.2976509172605939,0.2976509172605939,1,1,22.072491774460758,ok
EI,1,5,mu[1],-0.12118343141040423,0.1259179127813058,-0.37570669763717274,0.11963845446653407,0,-0.12118343141040423,-0.12118343141040423,1,0,1.0079098494302676,ok
EI,1,5,mu[2],-0.3901093079043555,0.14474148400101475,-0.6745676384027681,-0.1077008830291729,0,-0.3901093079043555,-0.3901093079043555,0,0,1.0079098494302676,ok
EI,1,5,phi11,0.44097925479052047,0.12964213472301858,0.17945442543140114,0.6849416431778609,0.55,-0.10902074520947957,-0.1982195367445083,1,0,1.0079098494302676,ok
EI,1,5,phi12,0.07152299193732385,0.1502581102552644,-0.2300195356405758,0.3603918546481999,0.1,-0.028477008062676154,-0.2847700806267615,1,0,1.0079098494302676,ok
EI,1,5,phi21,0.057687260889714195,0.12498476521998808,-0.19660461918810226,0.2943365995085411,0.1,-0.04231273911028581,-0.4231273911028581,1,0,1.0079098494302676,ok
EI,1,5,phi22,-0.03257256070877197,0.1644673409413267,-0.3453724020973361,0.29324662430860515,0.25,-0.28257256070877196,-1.1302902428350878,1,0,1.0079098494302676,ok
EI,1,5,rho,0.9205814990810935,0.0333350722812329,0.8362516160253524,0.9621268656018541,0.3,0.6205814990810936,2.068604996936979,0,0,1.0079098494302676,ok
EI,1,5,sigma_exp[1],1.2254516107513578,0.16063728769072885,0.9483222600329759,1.573157976426665,1,0.22545161075135778,0.22545161075135778,1,0,1.0079098494302676,ok
EI,1,5,sigma_exp[2],1.2563791637592703,0.1702624422346409,0.9613088442665731,1.6190914445764553,1,0.2563791637592703,0.2563791637592703,1,0,1.0079098494302676,ok
EI,1,6,mu[1],0.15270053368288217,0.12434909768071498,-0.08171852028923188,0.40611805564996867,0,0.15270053368288217,0.15270053368288217,1,0,1.0051612784771946,ok
EI,1,6,mu[2],0.1739324097006405,0.13151418354305183,-0.07116633098421647,0.44606067359093193,0,0.1739324097006405,0.1739324097006405,1,0,1.0051612784771946,ok
EI,1,6,phi11,0.3370510228478246,0.18192809456212078,-0.06396490914942021,0.6440590277516964,0.55,-0.21294897715217542,-0.38717995845850073,1,0,1.0051612784771946,ok
EI,1,6,phi12,-0.08421789899243423,0.18826779208350428,-0.468760990382696,0.2577786242049604,0.1,-0.18421789899243424,-1.8421789899243424,1,0,1.0051612784771946,ok
EI,1,6,phi21,-0.07482263989454725,0.1725220839493832,-0.4261195427455082,0.24084080701257554,0.1,-0.17482263989454727,-1.7482263989454727,1,0,1.0051612784771946,ok
EI,1,6,phi22,0.1503649940707255,0.19658286447264997,-0.2396804424718373,0.5084528414921263,0.25,-0.09963500592927449,-0.39854002371709796,1,0,1.0051612784771946,ok
EI,1,6,rho,0.8855316751883395,0.05244048887073037,0.7543549608983252,0.9543334252301579,0.3,0.5855316751883395,1.9517722506277984,0,0,1.0051612784771946,ok
EI,1,6,sigma_exp[1],1.3052670481981574,0.1679880242104575,1.0055844314800906,1.6747210895807845,1,0.3052670481981574,0.3052670481981574,0,0,1.0051612784771946,ok
EI,1,6,sigma_exp[2],1.242505608706621,0.15100173951659665,0.9781125827512778,1.5673835932306077,1,0.24250560870662108,0.24250560870662108,1,0,1.0051612784771946,ok
EI,1,7,mu[1],-0.049216189235879976,0.10258122212001995,-0.24843637454389472,0.14906880248022916,0,-0.049216189235879976,-0.049216189235879976,1,0,1.0024729801457966,ok
EI,1,7,mu[2],-0.02468094491720232,0.1344530245164569,-0.2879348896515576,0.2433049265476097,0,-0.02468094491720232,-0.02468094491720232,1,0,1.0024729801457966,ok
EI,1,7,phi11,0.5184276034018321,0.11891017697886368,0.2765802836949181,0.7459424538387335,0.55,-0.03157239659816791,-0.057404357451214374,1,0,1.0024729801457966,ok
