condition_id,model,param,N_valid,N_truth_avail,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat,N_expected,N_ok,N_missing_fit,N_not_ok,prop_ok,RMSE
1,EI,mu[1],200,200,-0.00297996479989486,-0.00297996479989486,0.98,0.11828088566266783,0.10105615316564708,0.01722473249702075,0.045,0.04,1.022396571986836,200,200,0,0,1,0.10110008052839194
1,EI,mu[2],200,200,-0.007651640235549475,-0.007651640235549475,0.99,0.13605486176824008,0.10519445455796404,0.03086040721027604,0.045,0.04,1.022396571986836,200,200,0,0,1,0.10547237016414224
1,EI,phi11,200,200,-0.11477390340478198,-0.20867982437233085,0.94,0.13617708049225125,0.130097484629417,0.006079595862834242,0.045,0.04,1.022396571986836,200,200,0,0,1,0.1734889172531537
1,EI,phi12,200,200,-0.018368935864288095,-0.18368935864288086,0.99,0.16148941791120613,0.11917625615440235,0.04231316175680379,0.045,0.04,1.022396571986836,200,200,0,0,1,0.1205835719978723
1,EI,phi21,200,200,-0.04828100285750924,-0.4828100285750924,0.99,0.13839295429730958,0.10716828775712656,0.03122466654018302,0.045,0.04,1.022396571986836,200,200,0,0,1,0.11754189524472157
1,EI,phi22,200,200,-0.10770725293041938,-0.43082901172167754,0.95,0.16610498429362466,0.1343063462862761,0.031798638007348556,0.045,0.04,1.022396571986836,200,200,0,0,1,0.17215994594151812
1,EI,rho,200,200,0.33228128299122955,1.1076042766374319,0.2799999999999998,0.15734991746183805,0.31829096145865116,-0.1609410439968131,0.045,0.04,1.022396571986836,200,200,0,0,1,0.46013040235629954
1,EI,sigma_exp[1],200,200,0.4924138590870472,0.4924138590870472,0.045000000000000005,0.19330108693290401,0.13292973561076038,0.060371351322143635,0.045,0.04,1.022396571986836,200,200,0,0,1,0.5100409034876958
1,EI,sigma_exp[2],200,200,0.4946309334580036,0.4946309334580036,0.049999999999999975,0.18791252885642,0.11552734819244127,0.07238518066397874,0.045,0.04,1.022396571986836,200,200,0,0,1,0.5079432335546105
1,EL,mu[1],200,200,-0.0938242224110275,-0.0938242224110275,1,0.1786148150437999,0.09317986206265383,0.08543495298114606,0,0,1.0015808725294981,200,200,0,0,1,0.13223264122390185
1,EL,mu[2],200,200,-0.08613682038954225,-0.08613682038954225,1,0.17358999604335015,0.08605776007670968,0.08753223596664048,0,0,1.0015808725294981,200,200,0,0,1,0.12175996836497942
1,EL,phi11,200,200,-0.2831256637851414,-0.5147739341548025,0.17,0.06959334422048735,0.19385377489594727,-0.12426043067545992,0,0,1.0015808725294981,200,200,0,0,1,0.3431317932444989
1,EL,phi12,200,200,-0.062363247236790084,-0.6236324723679008,0.49499999999999994,0.07981336473684268,0.21968258957616335,-0.13986922483932068,0,0,1.0015808725294981,200,200,0,0,1,0.22836290147220945
1,EL,phi21,200,200,-0.056204517538177866,-0.5620451753817787,0.5599999999999999,0.07361216975607822,0.18151957219393353,-0.10790740243785531,0,0,1.0015808725294981,200,200,0,0,1,0.1900218484310896
1,EL,phi22,200,200,-0.12931910679519495,-0.5172764271807798,0.52,0.07623268326765546,0.19843300433460956,-0.1222003210669541,0,0,1.0015808725294981,200,200,0,0,1,0.23685246165401408
1,EL,rho,200,200,0.3108033965195145,1.036011321731715,0.215,0.09181455776924918,0.16143722814232736,-0.06962267037307818,0,0,1.0015808725294981,200,200,0,0,1,0.3502295389003395
1,EL,sigma_exp[1],200,200,1.9247747027513746,1.9247747027513746,0,0.19343029075730314,0.3714868338203904,-0.17805654306308724,0,0,1.0015808725294981,200,200,0,0,1,1.9602959276735594
1,EL,sigma_exp[2],200,200,1.78675394543837,1.78675394543837,0,0.18684903515853973,0.3602759489006698,-0.17342691374213004,0,0,1.0015808725294981,200,200,0,0,1,1.8227145747197666
2,EI,mu[1],200,200,-0.008206797476883763,-0.008206797476883763,0.995,0.10808424743361453,0.09480275400813985,0.013281493425474675,1.67,0.25,2.4226883318050207,200,200,0,0,1,0.09515731024127606
2,EI,mu[2],200,200,-0.010642956039339766,-0.010642956039339766,1,0.12162729795470391,0.0777381799375661,0.04388911801713781,1.67,0.25,2.4226883318050207,200,200,0,0,1,0.07846334898065926
2,EI,phi11,200,200,-0.06275722836227107,-0.1141040515677656,0.9650000000000001,0.12774257155235752,0.11070704293447414,0.017035528617883378,1.67,0.25,2.4226883318050207,200,200,0,0,1,0.12725768765386924
2,EI,phi12,200,200,-0.03255948319833909,-0.32559483198339084,0.995,0.158695841071881,0.09630177132479632,0.06239406974708468,1.67,0.25,2.4226883318050207,200,200,0,0,1,0.10165702684239929
2,EI,phi21,200,200,-0.035941792625058255,-0.3594179262505825,1,0.12653313376554332,0.06923293157102128,0.05730020219452203,1.67,0.25,2.4226883318050207,200,200,0,0,1,0.07800648223718595
2,EI,phi22,200,200,-0.06334086962026762,-0.2533634784810705,1,0.16396228566008225,0.08910620863896337,0.07485607702111888,1.67,0.25,2.4226883318050207,200,200,0,0,1,0.10932512146008444
2,EI,rho,200,200,0.5437900108924087,1.8126333696413626,0.10500000000000001,0.11925865700847627,0.17484725057265127,-0.055588593564175004,1.67,0.25,2.4226883318050207,200,200,0,0,1,0.5712084881890163
2,EI,sigma_exp[1],200,200,0.12571688689411417,0.12571688689411417,0.9650000000000001,0.14880981938167323,0.07709515412783148,0.07171466525384175,1.67,0.25,2.4226883318050207,200,200,0,0,1,0.14747338214180072
2,EI,sigma_exp[2],200,200,0.15548829694384075,0.15548829694384075,0.96,0.15149721144620207,0.07503843980661412,0.07645877163958795,1.67,0.25,2.4226883318050207,200,200,0,0,1,0.17264813330907128
2,EL,mu[1],200,200,-0.02096277129230364,-0.02096277129230364,0.985,0.10464708402979533,0.08212200804173779,0.022525075988057544,0,0,1.0009861820708919,200,200,0,0,1,0.0847553065303918
2,EL,mu[2],200,200,-0.022953010400454037,-0.022953010400454037,0.995,0.10479842315595024,0.07301604327496321,0.03178237988098703,0,0,1.0009861820708919,200,200,0,0,1,0.07653876966593239
2,EL,phi11,200,200,-0.007051726189721622,-0.0128213203449484,1,0.03926484475646262,0.029056215203813362,0.01020862955264926,0,0,1.0009861820708919,200,200,0,0,1,0.029899673647468473
2,EL,phi12,200,200,-0.0019929622581182035,-0.019929622581182027,1,0.045573549261567536,0.03280412514848469,0.012769424113082843,0,0,1.0009861820708919,200,200,0,0,1,0.03286460900908041
2,EL,phi21,200,200,0.0021649869919693914,0.02164986991969391,0.99,0.03885883110738923,0.027086023741262448,0.011772807366126785,0,0,1.0009861820708919,200,200,0,0,1,0.027172409734648666
2,EL,phi22,200,200,-0.005960068436767249,-0.023840273747068996,1,0.046244478315469996,0.03129843092736712,0.014946047388102873,0,0,1.0009861820708919,200,200,0,0,1,0.03186085677263121
2,EL,rho,200,200,0.24048511624155386,0.8016170541385129,0.32999999999999996,0.09011323629889773,0.09335757888577985,-0.0032443425868821235,0,0,1.0009861820708919,200,200,0,0,1,0.25797040269986066
2,EL,sigma_exp[1],200,200,0.2190835661324123,0.2190835661324123,0.39999999999999997,0.10631064370037324,0.07592560633276374,0.030385037367609502,0,0,1.0009861820708919,200,200,0,0,1,0.23186700206431465
2,EL,sigma_exp[2],200,200,0.21745565902593217,0.21745565902593217,0.38500000000000006,0.10651849864037291,0.0691435611888274,0.037374937451545506,0,0,1.0009861820708919,200,200,0,0,1,0.22818368849739368
3,EI,mu[1],200,200,0.07963833276531719,0.07963833276531719,0.94,0.1312227919817438,0.11429109427133546,0.01693169771040834,0.065,0.015,1.0168586691138761,200,200,0,0,1,0.13930081936363004
3,EI,mu[2],200,200,-0.09679241197805201,-0.09679241197805201,0.92,0.15232396879644067,0.13673778978720164,0.015586179009239032,0.065,0.015,1.0168586691138761,200,200,0,0,1,0.16752908455673568
3,EI,phi11,200,200,-0.10259649855290229,-0.18653908827800414,0.9299999999999999,0.13724626505921736,0.12619329959509917,0.011052965464118186,0.065,0.015,1.0168586691138761,200,200,0,0,1,0.1626369895749861
3,EI,phi12,200,200,-0.031387165665153,-0.31387165665153005,0.985,0.16489638285208788,0.12085732837829277,0.04403905447379511,0.065,0.015,1.0168586691138761,200,200,0,0,1,0.12486652069802479
3,EI,phi21,200,200,-0.029984521723683284,-0.2998452172368329,0.995,0.14396203928447435,0.10889998304228565,0.035062056242188694,0.065,0.015,1.0168586691138761,200,200,0,0,1,0.112952546892968
3,EI,phi22,200,200,-0.11070818337230523,-0.4428327334892209,0.985,0.17102192916961872,0.13000078204931065,0.04102114712030808,0.065,0.015,1.0168586691138761,200,200,0,0,1,0.17075276044336246
3,EI,rho,200,200,-0.008846693212078365,-0.029488977373594672,0.6450000000000001,0.3059499545741787,0.5409723826549049,-0.2350224280807262,0.065,0.015,1.0168586691138761,200,200,0,0,1,0.5410447142114166
3,EI,sigma_exp[1],200,200,0.6639072358978629,0.6639072358978629,0.025000000000000012,0.2188273366223277,0.17351752240153034,0.045309814220797356,0.065,0.015,1.0168586691138761,200,200,0,0,1,0.6862078026792658
3,EI,sigma_exp[2],200,200,0.6650061730412437,0.6650061730412437,0.009999999999999995,0.20814116572598526,0.16448129526677555,0.043659870459209715,0.065,0.015,1.0168586691138761,200,200,0,0,1,0.6850454778155949
3,EL,mu[1],200,200,0.042444038038465935,0.042444038038465935,1,0.20515159169683864,0.1552811383551638,0.049870453341674836,0,0,1.0044752739010656,200,200,0,0,1,0.16097741547771932
3,EL,mu[2],200,200,-0.04701698636319642,-0.04701698636319642,0.99,0.2026371142074879,0.16384936324730498,0.038787750960182915,0,0,1.0044752739010656,200,200,0,0,1,0.170461757714815
3,EL,phi11,200,200,-0.28425852694169346,-0.5168336853485336,0.15500000000000003,0.06671768655089026,0.19778475710004847,-0.13106707054915823,0,0,1.0044752739010656,200,200,0,0,1,0.3462971560382595
3,EL,phi12,200,200,-0.03724159085487275,-0.3724159085487276,0.435,0.08821026266372115,0.2725489240725506,-0.18433866140882946,0,0,1.0044752739010656,200,200,0,0,1,0.2750815371894426
3,EL,phi21,200,200,-0.06117138833342666,-0.6117138833342666,0.49499999999999994,0.07990273787941693,0.21815901269990365,-0.13825627482048672,0,0,1.0044752739010656,200,200,0,0,1,0.2265729321274622
3,EL,phi22,200,200,-0.1310075732760947,-0.5240302931043788,0.43499999999999994,0.07299512847499925,0.20949341384678544,-0.13649828537178618,0,0,1.0044752739010656,200,200,0,0,1,0.24708394262046215
3,EL,rho,200,200,-0.3307947017630241,-1.102649005876747,0.6000000000000001,0.24995018223159152,0.45612745080851713,-0.20617726857692562,0,0,1.0044752739010656,200,200,0,0,1,0.5634513165266049
3,EL,sigma_exp[1],200,200,2.0444507912596768,2.0444507912596768,0,0.2151943344805344,0.46442371294723345,-0.24922937846669904,0,0,1.0044752739010656,200,200,0,0,1,2.096537245800802
3,EL,sigma_exp[2],200,200,1.8959590291889752,1.8959590291889752,0,0.21187865255719288,0.36056792569550433,-0.14868927313831146,0,0,1.0044752739010656,200,200,0,0,1,1.9299403797536234
4,EI,mu[1],200,200,0.1166669289894662,0.1166669289894662,0.95,0.12620372747291617,0.09061621837431633,0.03558750909859984,1.105,0.29,6.5839437068340905,200,200,0,0,1,0.14772430860320496
4,EI,mu[2],200,200,-0.14726945216345647,-0.14726945216345647,0.875,0.14344122053550318,0.10661145512807364,0.036829765407429535,1.105,0.29,6.5839437068340905,200,200,0,0,1,0.1818083988847871
4,EI,phi11,200,200,-0.03556205658136413,-0.06465828469338933,0.99,0.12644954843016443,0.10623510757851921,0.020214440851645213,1.105,0.29,6.5839437068340905,200,200,0,0,1,0.11202927273938582
4,EI,phi12,200,200,-0.03817107960887949,-0.3817107960887949,0.995,0.16128721271375057,0.09691481563375301,0.06437239707999756,1.105,0.29,6.5839437068340905,200,200,0,0,1,0.1041609946565016
4,EI,phi21,200,200,-0.020997096607971284,-0.20997096607971283,1,0.1268056940292965,0.06583886938061195,0.06096682464868455,1.105,0.29,6.5839437068340905,200,200,0,0,1,0.0691059678123515
4,EI,phi22,200,200,-0.043275833321959604,-0.17310333328783842,1,0.16462096900555395,0.090384387237493,0.07423658176806096,1.105,0.29,6.5839437068340905,200,200,0,0,1,0.10021045457439615
4,EI,rho,200,200,0.301128362290749,1.0037612076358302,0.44499999999999995,0.35623171122417324,0.43287973717128864,-0.0766480259471154,1.105,0.29,6.5839437068340905,200,200,0,0,1,0.5273169421035062
4,EI,sigma_exp[1],200,200,0.41664824103970954,0.41664824103970954,0.3900000000000001,0.20516031176574867,0.14670854184955506,0.05845176991619361,1.105,0.29,6.5839437068340905,200,200,0,0,1,0.44172293693344306
4,EI,sigma_exp[2],200,200,0.4156323492410708,0.4156323492410708,0.36999999999999994,0.1982567498052784,0.13865890176586698,0.05959784803941143,1.105,0.29,6.5839437068340905,200,200,0,0,1,0.43815127613025134
4,EL,mu[1],200,200,0.13389345145009843,0.13389345145009843,0.86,0.11758612538233215,0.0848664526361336,0.03271967274619855,0,0,1.000925501615824,200,200,0,0,1,0.1585237241685325
4,EL,mu[2],200,200,-0.10611528628754373,-0.10611528628754373,0.925,0.11636774399282546,0.08712184284937359,0.029245901143451866,0,0,1.000925501615824,200,200,0,0,1,0.1372977402776838
4,EL,phi11,200,200,-0.007562219520987396,-0.0137494900381589,0.995,0.036099514314934966,0.026426412968655257,0.00967310134627971,0,0,1.000925501615824,200,200,0,0,1,0.02748713274376783
4,EL,phi12,200,200,0.003281217720163731,0.0328121772016373,1,0.04385236158319322,0.03302127109417833,0.010831090489014893,0,0,1.000925501615824,200,200,0,0,1,0.033183892695136503
4,EL,phi21,200,200,0.001139126849932957,0.011391268499329582,1,0.03569677996457553,0.024839412530425136,0.010857367434150392,0,0,1.000925501615824,200,200,0,0,1,0.024865518792835984
4,EL,phi22,200,200,-0.003829683249529798,-0.015318732998119191,0.99,0.04397885053137015,0.03082243395516002,0.013156416576210129,0,0,1.000925501615824,200,200,0,0,1,0.03105944153895769
