"T_fac","dgp_alpha1_fac","dgp_alpha2_fac","dgp_copula_fac","dgp_tau_fac","fit_type","fitted_model_code","parameter","param_category","n_reps_param","true_value","avg_bias","coverage","avg_post_sd","sd_est","avg_rel_bias"
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","xi[2]","Residual Params",493,NA,0.00371330046564521,0.939148073022312,0.0484806442122116,0.0485799061938531,0.00285269670909101
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","omega[1]","Residual Params",493,NA,-0.00796685041122306,0.949290060851927,0.059028042605727,0.0595470859892571,-0.00485353109721287
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","omega[2]","Residual Params",493,NA,-0.00377036443698196,0.941176470588235,0.0590439798458281,0.0592545431385671,-0.00229696556332205
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","alpha[1]","Residual Params",493,NA,-0.480644162482815,0.943204868154158,2.14476210847977,2.23308349111026,-0.053404906942535
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","alpha[2]","Residual Params",493,NA,0.693409911361585,0.943204868154158,2.13649180698233,2.31486604252924,0.0770455457068427
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","phi11","VAR Coeffs",500,NA,-0.00589049284695825,0.954,0.0476315370548931,0.0455272025886352,-0.0117809856939165
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","phi12","VAR Coeffs",500,NA,-0.00345005545367887,0.962,0.0476220519455832,0.0453446570420337,-0.0115001848455962
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","phi21","VAR Coeffs",500,NA,0.000977436510702265,0.952,0.0477731452646416,0.0458825151776193,0.00325812170234089
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","phi22","VAR Coeffs",500,NA,-0.0109145262396351,0.954,0.0477200593998026,0.0477938099466554,-0.0218290524792702
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","mu[1]","Intercepts",500,NA,0.00108351231026682,0.946,0.0451840393955176,0.0477534420249041,NA
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","mu[2]","Intercepts",500,NA,-0.00129187263718388,0.946,0.0453052658120285,0.0474932254829918,NA
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","rho","Copula Params",500,NA,-0.0613815909489251,0.52,0.0323565485260892,0.0276554253155981,-0.104428599917275
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","sigma[1]","Residual Params",500,NA,-9.13208461288573e-06,0.91,0.0317323477444784,0.0367496457004384,-9.13208461288568e-06
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","sigma[2]","Residual Params",500,NA,0.00224270679702503,0.904,0.0318314811253545,0.0367894197082239,0.00224270679702503
