"T_fac","dgp_alpha1_fac","dgp_alpha2_fac","dgp_copula_fac","dgp_tau_fac","fit_type","fitted_model_code","parameter","param_category","n_reps_param","true_value","avg_est","sd_est","avg_bias","med_bias","avg_rel_bias","med_rel_bias","rmse","mae","coverage","avg_post_sd","avg_ci_width","avg_Rhat","pct_rhat_high","med_n_eff","n_reps_sampler","avg_divergences","pct_reps_diverged","avg_maxdepth_exceed","avg_eFMI"
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Correct","SC","alpha[2]","Residual Params",492,9,9.33176037694408,1.62886662638069,0.331760376944078,0.161215821002562,0.0368622641048975,0.0179128690002847,1.66068622506963,1.19712378252531,0.939024390243902,1.47905732153597,5.76966094725987,1.00027468659792,0,5441.20886226127,492,0.00203252032520325,0.203252032520325,0,0.498044653730445
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","phi11","VAR Coeffs",500,0.5,0.495152933013555,0.045546186032343,-0.00484706698644487,-0.00310137615928366,-0.00969413397288974,-0.00620275231856732,0.0457580616978002,0.0364184158206616,0.966,0.0472289320352558,0.185147383871175,1.00045986603917,0,4140.40180620709,500,0,0,0,0.500100885040579
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","phi12","VAR Coeffs",500,0.3,0.296509424393648,0.0460240607257821,-0.00349057560635241,-0.00580508138028987,-0.0116352520211747,-0.0193502712676329,0.0461103226558084,0.0367152954709601,0.952,0.0472773587942481,0.185263659260171,1.00046397552253,0,4146.12706181197,500,0,0,0,0.500100885040579
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","phi21","VAR Coeffs",500,0.3,0.301170297160713,0.0486773302666314,0.0011702971607128,0.00168877826964484,0.00390099053570933,0.00562926089881612,0.0486427087276944,0.0392802391019352,0.954,0.0472768153086744,0.185190691197493,1.0004372198969,0,4147.69454990342,500,0,0,0,0.500100885040579
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","phi22","VAR Coeffs",500,0.5,0.489670394825622,0.0492553474103341,-0.0103296051743777,-0.00649737223735181,-0.0206592103487554,-0.0129947444747036,0.0502786019403305,0.039234971890712,0.93,0.0472849143485333,0.185366637001829,1.00041554533373,0,4134.73718971117,500,0,0,0,0.500100885040579
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","mu[1]","Intercepts",500,0,-0.000769444731746189,0.0457488552878622,-0.000769444731746189,-0.00108653918876514,NA,NA,0.0457095601578561,0.0366442927042277,0.952,0.0451329132627617,0.176901922830965,1.00014314945907,0,6140.0989592418,500,0,0,0,0.500100885040579
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","mu[2]","Intercepts",500,0,0.00101237227096189,0.04668698253393,0.00101237227096189,0.00129435922649344,NA,NA,0.0466512581509036,0.0368883380913618,0.948,0.0451851308361266,0.177136821810883,1.00013823645105,0,6125.30288057525,500,0,0,0,0.500100885040579
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","rho","Copula Params",500,NA,0.517611107479604,0.0294000865144217,NA,NA,NA,NA,NA,NA,NA,0.032769623769757,0.128373165255627,1.00013571876694,0,6186.59155403879,500,0,0,0,0.500100885040579
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","sigma[1]","Residual Params",500,NA,0.999538989375196,0.0366387664776821,NA,NA,NA,NA,NA,NA,NA,0.0317265882974246,0.12431315178711,1.00010172000912,0,6461.11666280988,500,0,0,0,0.500100885040579
"T=500","A1=-9","A2=9","Cop=Clayton","Tau=0.4","Standard","NG","sigma[2]","Residual Params",500,NA,1.00043257429771,0.0396029654842256,NA,NA,NA,NA,NA,NA,NA,0.031765575276041,0.124450565078796,1.00013284219991,0,6504.0560761502,500,0,0,0,0.500100885040579
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","phi11","VAR Coeffs",493,0.5,0.497125049240044,0.0260434343511192,-0.00287495075995617,-0.00197811744809678,-0.00574990151991233,-0.00395623489619357,0.0261753707286284,0.0209168593813022,0.945233265720081,0.0265346557346085,0.104161693276049,1.00024861838016,0,5142.86095208895,493,0.00405679513184584,0.405679513184584,0,0.498906307555912
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","phi12","VAR Coeffs",493,0.3,0.299901335158455,0.0270866690690899,-9.86648415447531e-05,-8.68329866134943e-05,-0.000328882805149177,-0.000289443288711648,0.0270593637357509,0.0212960878230255,0.947261663286004,0.0264633903308322,0.103842123308667,1.00025756346168,0,5146.32024459559,493,0.00405679513184584,0.405679513184584,0,0.498906307555912
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","phi21","VAR Coeffs",493,0.3,0.300582753072275,0.0263535059356855,0.000582753072274977,0.00207622355738396,0.00194251024091659,0.00692074519127987,0.026333213616631,0.0210142937169205,0.947261663286004,0.0264436466563456,0.103754017104054,1.00028919036574,0,5112.39885976547,493,0.00405679513184584,0.405679513184584,0,0.498906307555912
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","phi22","VAR Coeffs",493,0.5,0.497458600516568,0.0268530686719526,-0.00254139948343229,-0.0024802368952998,-0.00508279896686458,-0.00496047379059961,0.0269459339551766,0.0217226940312378,0.95131845841785,0.0263437565974777,0.103389609499133,1.00029609171238,0,5128.8526905794,493,0.00405679513184584,0.405679513184584,0,0.498906307555912
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","mu[1]","Intercepts",493,0,0.00116015756968875,0.0437681857962418,0.00116015756968875,0.00333891524722906,NA,NA,0.0437391626050593,0.0343747584491859,0.943204868154158,0.042685110370556,0.167311362146188,1.00023612291242,0,5336.33617967028,493,0.00405679513184584,0.405679513184584,0,0.498906307555912
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","mu[2]","Intercepts",493,0,-0.0016183418070106,0.0438754063148111,-0.0016183418070106,0.000671902927239763,NA,NA,0.0438607517054245,0.0359099224760428,0.955375253549696,0.0427587040653074,0.167610032968276,1.0002449523167,0,5261.85796323673,493,0.00405679513184584,0.405679513184584,0,0.498906307555912
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","rho","Copula Params",493,0.587785252292473,0.581359942828706,0.0308153758964388,-0.00642530946376722,-0.00517233799610728,-0.0109313893785312,-0.00879970699491725,0.031447509481518,0.0246790447000299,0.945233265720081,0.0293757847625098,0.115016801302324,1.00008111998545,0,6920.07474302306,493,0.00405679513184584,0.405679513184584,0,0.498906307555912
