model,condition_id,rep_id,param,post_mean,post_sd,l95,u95,truth,bias,rel_bias,cover95,n_div,max_rhat,status,unit
EG_MLmin,1,1,phi11,0.3997465434899379,0.0028964014372324827,0.3934138595079727,0.40481386598895597,0.4,-2.534565100621444e-4,-6.336412751553611e-4,TRUE,2,1.5872988767053897,ok,NA
EG_MLmin,1,1,phi12,0.09892956192507553,0.003539955294848335,0.09285741424223759,0.10607628103863255,0.1,-0.0010704380749244763,-0.010704380749244763,TRUE,2,1.5872988767053897,ok,NA
EG_MLmin,1,1,phi21,0.10170721493373476,0.0022418804173781294,0.0977867564826703,0.10661413042639134,0.1,0.0017072149337347547,0.017072149337347547,TRUE,2,1.5872988767053897,ok,NA
EG_MLmin,1,1,phi22,0.3982917970792369,0.0021327712816252803,0.3935370897382473,0.40177591602585927,0.4,-0.0017082029207631244,-0.004270507301907811,TRUE,2,1.5872988767053897,ok,NA
EG_MLmin,1,1,rho,0.512605129859071,0.013390877024339611,0.4866230142792513,0.5362947174993457,0.5,0.01260512985907103,0.02521025971814206,TRUE,2,1.5872988767053897,ok,NA
EG_MLmin,1,1,mu_bar[1],-0.00860646243497804,0.029273354247717542,-0.06612333307388968,0.04874794080320299,0,-0.00860646243497804,-0.00860646243497804,TRUE,2,1.5872988767053897,ok,NA
EG_MLmin,1,1,mu_bar[2],-0.024043859853695417,0.025153622670538625,-0.07427650740645175,0.024447220060811677,0,-0.024043859853695417,-0.024043859853695417,TRUE,2,1.5872988767053897,ok,NA
EG_MLmin,1,1,tau_mu[1],0.15219202554118139,0.016083350706933924,0.1211921148053717,0.18738741394906172,0.15,0.0021920255411813916,0.014613503607875944,TRUE,2,1.5872988767053897,ok,NA
EG_MLmin,1,1,tau_mu[2],0.14169048334158044,0.01378895232228302,0.11868269230798352,0.17598608715526107,0.15,-0.008309516658419558,-0.05539677772279705,TRUE,2,1.5872988767053897,ok,NA
EG_MLmin,1,2,phi11,0.39833920230482106,0.002371438756066283,0.39301283457612457,0.4024430389115491,0.4,-0.0016607976951789616,-0.004151994237947404,TRUE,0,1.7939781270601594,ok,NA
EG_MLmin,1,2,phi12,0.101274100819121,0.0027044672908985968,0.09648996230995552,0.10689364564405558,0.1,0.0012741008191209935,0.012741008191209935,TRUE,0,1.7939781270601594,ok,NA
EG_MLmin,1,2,phi21,0.0997699385105153,0.0020148357918044796,0.09542439281853889,0.10327912305989957,0.1,-2.300614894847064e-4,-0.002300614894847064,TRUE,0,1.7939781270601594,ok,NA
