model,condition_id,rep_id,status,n_div,max_rhat
SG,1,24,ok,NA,1.004532930178779
NG,1,25,ok,NA,1.0006494264684698
SG,1,25,ok,NA,1.0083297156856392
NG,1,26,ok,NA,1.000353306835988
SG,1,26,ok,NA,1.0015714059213336
NG,1,27,ok,NA,1.0005633795297741
SG,1,27,ok,NA,1.0064582245201072
NG,1,28,ok,NA,1.0015749966604481
SG,1,28,ok,NA,1.0015933583561338
NG,1,29,ok,NA,1.0010154881915079
SG,1,29,ok,NA,1.0205986929492228
NG,1,30,ok,NA,1.0007085613320232
SG,1,30,ok,NA,1.001318160235248
NG,1,31,ok,NA,1.0013709210877837
SG,1,31,ok,NA,1.0022258116244736
NG,1,32,ok,NA,1.0014050729728639
SG,1,32,ok,NA,1.0229208323417858
NG,1,33,ok,NA,1.0009349530571983
SG,1,33,ok,NA,1.0025146153620483
NG,1,34,ok,NA,1.00039692100033
SG,1,34,ok,NA,1.003828670596467
NG,1,35,ok,NA,1.0015371051977056
SG,1,35,ok,NA,1.001017724319657
NG,1,36,ok,NA,1.0007452301651152
SG,1,36,ok,NA,1.0022563951030987
NG,1,37,ok,NA,1.0002825762078307
SG,1,37,ok,NA,1.001126380798159
NG,1,38,ok,NA,1.0010970862582769
SG,1,38,ok,NA,1.0014990815872429
NG,1,39,ok,NA,1.0004285800084074
SG,1,39,ok,NA,1.0016225915861137
NG,1,40,ok,NA,1.0010924087162192
SG,1,40,ok,NA,1.0030528354066102
NG,1,41,ok,NA,1.0005282490533531
SG,1,41,ok,NA,1.0054970555027654
NG,1,42,ok,NA,1.0013265266548939
SG,1,42,ok,NA,1.0026614997147836
NG,1,43,ok,NA,1.0009283348437796
SG,1,43,ok,NA,1.0038328190268864
NG,1,44,ok,NA,1.000444034029687
SG,1,44,ok,NA,1.0011577332264154
NG,1,45,ok,NA,1.0007078267516496
SG,1,45,ok,NA,1.0015626990741608
NG,1,46,ok,NA,1.0008933915772507
SG,1,46,ok,NA,1.0005631355279068
NG,1,47,ok,NA,1.0023204607738812
SG,1,47,ok,NA,1.0014687725867348
NG,1,48,ok,NA,1.001476442173039
SG,1,48,ok,NA,1.0023539796216219
NG,1,49,ok,NA,1.002249390865703
SG,1,49,ok,NA,1.001390361772874
NG,1,50,ok,NA,1.0005907307035178
SG,1,50,ok,NA,1.002158301968458
NG,1,51,ok,NA,1.000749219530719
SG,1,51,ok,NA,1.0010199575807142
NG,1,52,ok,NA,1.0014858799664463
SG,1,52,ok,NA,1.0011362055735913
NG,1,53,ok,NA,1.0023253612234215
SG,1,53,ok,NA,1.0011020259887042
NG,1,54,ok,NA,1.0008611889750143
SG,1,54,ok,NA,1.000678609753978
NG,1,55,ok,NA,1.0003007078852362
SG,1,55,ok,NA,1.0036204180985955
NG,1,56,ok,NA,1.0004920122926395
SG,1,56,ok,NA,1.0020530291792444
NG,1,57,ok,NA,1.0012231377729992
SG,1,57,ok,NA,1.0018591770633511
NG,1,58,ok,NA,1.001020699023858
SG,1,58,ok,NA,1.0009308358011206
NG,1,59,ok,NA,1.0003336200261188
SG,1,59,ok,NA,1.0014793133559807
NG,1,60,ok,NA,1.0005306070677042
SG,1,60,ok,NA,1.001555105929064
NG,1,61,ok,NA,1.00067290592208
SG,1,61,ok,NA,1.001068325540695
NG,1,62,ok,NA,1.0005653529716199
SG,1,62,ok,NA,1.00105591753115
NG,1,63,ok,NA,1.0012521419071192
SG,1,63,ok,NA,1.0011488502465007
NG,1,64,ok,NA,1.0011359890238238
SG,1,64,ok,NA,1.003291496879248
NG,1,65,ok,NA,1.002131423512674
SG,1,65,ok,NA,1.006792120012649
NG,1,66,ok,NA,1.000402429625144
SG,1,66,ok,NA,1.0011385226529526
NG,1,67,ok,NA,1.0015164808807564
SG,1,67,ok,NA,1.009366913256895
NG,1,68,ok,NA,1.0010220112324146
SG,1,68,ok,NA,1.0026749527307124
NG,1,69,ok,NA,1.0011238250115628
SG,1,69,ok,NA,1.0028913521385434
NG,1,70,ok,NA,1.000575952580305
SG,1,70,ok,NA,1.0022044774054673
NG,1,71,ok,NA,1.0010471936275798
SG,1,71,ok,NA,1.0019872322657046
NG,1,72,ok,NA,1.0006838116236558
SG,1,72,ok,NA,1.001109421493963
NG,1,73,ok,NA,1.0005120900333582
SG,1,73,ok,NA,1.0016134547041575
NG,1,74,ok,NA,1.0013469836547306
SG,1,74,ok,NA,1.0017518200791768
NG,1,75,ok,NA,1.0013554156689821
SG,1,75,ok,NA,1.0028783675698423
NG,1,76,ok,NA,1.00135436624266
SG,1,76,ok,NA,1.0026509586855445
NG,1,77,ok,NA,1.0009438544903777
SG,1,77,ok,NA,1.0015555426381269
NG,1,78,ok,NA,1.0009312790819862
SG,1,78,ok,NA,1.0029740456011171
NG,1,79,ok,NA,1.0008276074231832
SG,1,79,ok,NA,1.0020204938115336
NG,1,80,ok,NA,1.0028878010326587
SG,1,80,ok,NA,1.006511390363929
NG,1,81,ok,NA,1.000709566593852
SG,1,81,ok,NA,1.002532393523564
NG,1,82,ok,NA,1.0014093190608016
SG,1,82,ok,NA,1.0016670949676107
NG,1,83,ok,NA,1.000976718251167
SG,1,83,ok,NA,1.0016795516826411
NG,1,84,ok,NA,1.0007524635559453
SG,1,84,ok,NA,1.0018580897494351
NG,1,85,ok,NA,1.0008189354833033
SG,1,85,ok,NA,1.0036591320476045
NG,1,86,ok,NA,1.000969098333118
SG,1,86,ok,NA,1.0010188870365113
NG,1,87,ok,NA,1.0009218222757137
SG,1,87,ok,NA,1.0032302160488493
NG,1,88,ok,NA,1.0011686525169043
SG,1,88,ok,NA,1.0049839562487808
NG,1,89,ok,NA,1.0003403663517507
SG,1,89,ok,NA,1.0030725980148327
NG,1,90,ok,NA,1.0013359214723894
SG,1,90,ok,NA,1.0036042765835038
NG,1,91,ok,NA,1.0006665427383572
SG,1,91,ok,NA,1.0022429596857305
NG,1,92,ok,NA,1.001148308233178
SG,1,92,ok,NA,1.0022700546201448
NG,1,93,ok,NA,1.0006325446182256
SG,1,93,ok,NA,1.001138047972179
NG,1,94,ok,NA,1.0011109353513972
SG,1,94,ok,NA,1.0065200683432773
NG,1,95,ok,NA,1.000411167705933
SG,1,95,ok,NA,1.0025234872676632
NG,1,96,ok,NA,1.002195594342539
SG,1,96,ok,NA,1.0028969283629174
NG,1,97,ok,NA,1.0010339551288971
SG,1,97,ok,NA,1.006094504062278
NG,1,98,ok,NA,1.0003416918739165
SG,1,98,ok,NA,1.002387128751139
NG,1,99,ok,NA,1.0006148698958004
SG,1,99,ok,NA,1.0021118785039622
NG,1,100,ok,NA,1.0008198383056475
SG,1,100,ok,NA,1.0015885407598704
NG,1,101,ok,NA,1.0008777022986246
SG,1,101,ok,NA,1.0020466036484614
NG,1,102,ok,NA,1.0008973198649234
SG,1,102,ok,NA,1.003111903334722
NG,1,103,ok,NA,1.0003962966551454
SG,1,103,ok,NA,1.0028475696082058
NG,1,104,ok,NA,1.0004695630895761
SG,1,104,ok,NA,1.0015490117245054
NG,1,105,ok,NA,1.0006991846553177
SG,1,105,ok,NA,1.003769935285702
NG,1,106,ok,NA,1.000609960381539
SG,1,106,ok,NA,1.0012702654917767
NG,1,107,ok,NA,1.0001667445524618
SG,1,107,ok,NA,1.0013916627035917
NG,1,108,ok,NA,1.0011284607815225
SG,1,108,ok,NA,1.0161020271883923
NG,1,109,ok,NA,1.0007943832574475
SG,1,109,ok,NA,1.0020130657093853
NG,1,110,ok,NA,1.00041607306132
SG,1,110,ok,NA,1.0005230074685627
NG,1,111,ok,NA,1.0008751172821155
SG,1,111,ok,NA,1.0029263959380426
NG,1,112,ok,NA,1.002288093540874
SG,1,112,ok,NA,1.0022214073289328
NG,1,113,ok,NA,1.000697831749657
SG,1,113,ok,NA,1.0011795881433272
NG,1,114,ok,NA,1.0005373325951201
SG,1,114,ok,NA,1.0031833382767843
NG,1,115,ok,NA,1.0004214921809926
SG,1,115,ok,NA,1.0037676793192725
NG,1,116,ok,NA,1.001744289322721
SG,1,116,ok,NA,1.0010291677955638
NG,1,117,ok,NA,1.0010999316865714
SG,1,117,ok,NA,1.0019081054191727
NG,1,118,ok,NA,1.0004705839129935
SG,1,118,ok,NA,1.0026299076452898
NG,1,119,ok,NA,1.0009896603960675
SG,1,119,ok,NA,1.0038855889050617
NG,1,120,ok,NA,1.0007606917341862
SG,1,120,ok,NA,1.005096499993433
NG,1,121,ok,NA,1.0001452823355423
SG,1,121,ok,NA,1.001206115875676
NG,1,122,ok,NA,1.0008121973292945
SG,1,122,ok,NA,1.0046324721067708
NG,1,123,ok,NA,1.002912064963115
SG,1,123,ok,NA,1.0013622120402197
NG,1,124,ok,NA,1.0024310258619877
SG,1,124,ok,NA,1.001787527176842
NG,1,125,ok,NA,1.0006900862627954
SG,1,125,ok,NA,1.0019896717730243
NG,1,126,ok,NA,1.0003143359783975
SG,1,126,ok,NA,1.0058793441373322
NG,1,127,ok,NA,1.0011627098740266
SG,1,127,ok,NA,1.0028588523461772
NG,1,128,ok,NA,1.0009266682903608
SG,1,128,ok,NA,1.0012914331285807
NG,1,129,ok,NA,1.0009167471652338
SG,1,129,ok,NA,1.0022414882437776
NG,1,130,ok,NA,1.0006382875582374
SG,1,130,ok,NA,1.0028102101462784
NG,1,131,ok,NA,1.0013036086898137
SG,1,131,ok,NA,1.0011955571710152
NG,1,132,ok,NA,1.001115154108828
SG,1,132,ok,NA,1.002944068061413
NG,1,133,ok,NA,1.0005188099006992
SG,1,133,ok,NA,1.0024815656272363
NG,1,134,ok,NA,1.001102265322716
SG,1,134,ok,NA,1.0007242474614257
NG,1,135,ok,NA,1.0011014094451833
SG,1,135,ok,NA,1.0017099659307296
NG,1,136,ok,NA,1.0014456271490029
SG,1,136,ok,NA,1.001381059292985
NG,1,137,ok,NA,1.000617204086813
SG,1,137,ok,NA,1.0043016533202247
NG,1,138,ok,NA,1.0002921419084054
SG,1,138,ok,NA,1.0012549850396435
NG,1,139,ok,NA,1.0014464711154585
SG,1,139,ok,NA,1.0033279935164365
NG,1,140,ok,NA,1.0005700031898743
SG,1,140,ok,NA,1.00167009758591
NG,1,141,ok,NA,1.0015821547832642
SG,1,141,ok,NA,1.0022907293697962
NG,1,142,ok,NA,1.0005247437996923
SG,1,142,ok,NA,1.0029742435695908
NG,1,143,ok,NA,1.0015337342514843
SG,1,143,ok,NA,1.0025025077678424
NG,1,144,ok,NA,1.000945705884571
SG,1,144,ok,NA,1.00270924297927
NG,1,145,ok,NA,1.0010137393323695
SG,1,145,ok,NA,1.002180832240275
NG,1,146,ok,NA,1.0015384842355342
SG,1,146,ok,NA,1.0019292016359458
NG,1,147,ok,NA,1.0010731273227733
SG,1,147,ok,NA,1.0020635797254152
NG,1,148,ok,NA,1.0005973238126247
SG,1,148,ok,NA,1.0013096459879656
NG,1,149,ok,NA,1.0006291968648604
SG,1,149,ok,NA,1.0026129584584036
