condition_id,model,param,N_valid,N_truth_avail,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat,N_expected,N_ok,N_missing_fit,N_not_ok,prop_ok
1,NG,mu[1],200,200,-0.014197370511869237,-0.014197370511869237,0.94,0.15023231215415084,0.15870846283448695,-0.008476150680336109,NA,NA,1.0009519825280735,200,200,0,0,1
1,NG,mu[2],200,200,9.350503163235057e-4,9.350503163235057e-4,0.945,0.1504280436682254,0.1593854272171219,-0.008957383548896497,NA,NA,1.0009519825280735,200,200,0,0,1
1,NG,phi11,200,200,-0.05730871718103004,-0.14327179295257508,0.95,0.13876762550593688,0.1329110053879666,0.005856620117970279,NA,NA,1.0009519825280735,200,200,0,0,1
1,NG,phi12,200,200,-0.004329017909000995,-0.043290179090009956,0.955,0.14066612360877853,0.13653710025120103,0.004129023357577505,NA,NA,1.0009519825280735,200,200,0,0,1
1,NG,phi21,200,200,-0.00659313638750982,-0.0659313638750982,0.945,0.14041988179475723,0.1381540578569817,0.002265823937775524,NA,NA,1.0009519825280735,200,200,0,0,1
1,NG,phi22,200,200,-0.06509088059149254,-0.16272720147873132,0.95,0.1397590893163643,0.13631993764304554,0.0034391516733187633,NA,NA,1.0009519825280735,200,200,0,0,1
1,NG,rho,200,200,-0.03772338628108327,-0.12574462093694425,0.935,0.1271867579166804,0.12442410798569545,0.0027626499309849617,NA,NA,1.0009519825280735,200,200,0,0,1
1,NG,sigma[1],200,200,0.009479675484178387,0.009479675484178387,0.91,0.10568084553303671,0.12534392236969077,-0.019663076836654067,NA,NA,1.0009519825280735,200,200,0,0,1
1,NG,sigma[2],200,200,0.010692212228506942,0.010692212228506942,0.93,0.10597595872483102,0.11258083295665491,-0.00660487423182389,NA,NA,1.0009519825280735,200,200,0,0,1
1,SG,alpha[1],200,200,-2.936584181365065,-0.7341460453412663,0.43,2.411861245672761,1.5664720328619375,0.8453892128108234,NA,NA,1.0028873163265024,200,200,0,0,1
1,SG,alpha[2],200,200,-2.9035581942473487,-0.7258895485618372,0.44,2.136216357140443,1.4517768130320863,0.6844395441083568,NA,NA,1.0028873163265024,200,200,0,0,1
1,SG,mu[1],200,200,-0.012863547929417575,-0.012863547929417575,0.94,0.14717280584030584,0.15787034275511613,-0.01069753691481029,NA,NA,1.0028873163265024,200,200,0,0,1
1,SG,mu[2],200,200,9.727190459682164e-4,9.727190459682164e-4,0.945,0.14723047814553605,0.15751196927890226,-0.01028149113336621,NA,NA,1.0028873163265024,200,200,0,0,1
1,SG,omega[1],200,200,-0.42410789355720857,-0.2685070079205669,0.525,0.19257992530106194,0.18546642041036884,0.007113504890693095,NA,NA,1.0028873163265024,200,200,0,0,1
1,SG,omega[2],200,200,-0.4183532777154615,-0.2648637022785997,0.575,0.19821074693441565,0.16872494494102047,0.029485801993395178,NA,NA,1.0028873163265024,200,200,0,0,1
1,SG,phi11,200,200,-0.05429175240706563,-0.13572938101766407,0.945,0.13492604878964287,0.12901855892198894,0.005907489867653937,NA,NA,1.0028873163265024,200,200,0,0,1
1,SG,phi12,200,200,-0.007063741135072952,-0.07063741135072953,0.96,0.13693515301067888,0.13170350865325114,0.005231644357427734,NA,NA,1.0028873163265024,200,200,0,0,1
1,SG,phi21,200,200,-0.004907910518075825,-0.049079105180758247,0.94,0.1360281680518857,0.13278239913558335,0.0032457689163023495,NA,NA,1.0028873163265024,200,200,0,0,1
1,SG,phi22,200,200,-0.06200820412046964,-0.15502051030117409,0.955,0.13646309814537472,0.12875064247586562,0.007712455669509094,NA,NA,1.0028873163265024,200,200,0,0,1
1,SG,rho,200,200,-0.03734287558670236,-0.12447625195567452,0.95,0.12644121955620058,0.12203501252972088,0.004406207026479703,NA,NA,1.0028873163265024,200,200,0,0,1
2,NG,mu[1],200,200,0.02563439287384422,0.02563439287384422,0.94,0.15176289004188986,0.17278725580533788,-0.021024365763448016,NA,NA,1.0008991128300055,200,200,0,0,1
2,NG,mu[2],200,200,0.00824749871370168,0.00824749871370168,0.955,0.14895537849313106,0.14916612418089573,-2.1074568776466296e-4,NA,NA,1.0008991128300055,200,200,0,0,1
2,NG,phi11,200,200,-0.06802002907731937,-0.17005007269329842,0.93,0.13866218760647417,0.13597320493865903,0.002688982667815143,NA,NA,1.0008991128300055,200,200,0,0,1
2,NG,phi12,200,200,-0.020564752834273302,-0.205647528342733,0.935,0.14263529232019329,0.1473990442809701,-0.004763751960776802,NA,NA,1.0008991128300055,200,200,0,0,1
2,NG,phi21,200,200,0.0031562001762929937,0.031562001762929934,0.97,0.137334132758464,0.11921717241805921,0.018116960340404803,NA,NA,1.0008991128300055,200,200,0,0,1
2,NG,phi22,200,200,-0.07843889389841063,-0.19609723474602658,0.935,0.13908905954421275,0.1264179495698,0.012671109974412759,NA,NA,1.0008991128300055,200,200,0,0,1
2,NG,rho,200,200,-0.04941179855880942,-0.1647059951960314,0.97,0.12830076574237276,0.11481679549360832,0.013483970248764438,NA,NA,1.0008991128300055,200,200,0,0,1
2,NG,sigma[1],200,200,0.026963332998430966,0.026963332998430966,0.91,0.10767876165174553,0.12422485030282543,-0.0165460886510799,NA,NA,1.0008991128300055,200,200,0,0,1
2,NG,sigma[2],200,200,0.00729085928791347,0.00729085928791347,0.915,0.10575138432173026,0.11528005101188067,-0.009528666690150414,NA,NA,1.0008991128300055,200,200,0,0,1
2,SG,alpha[1],200,200,-5.981986963178352,-0.664665218130928,0.495,5.293737729974971,3.502336183853947,1.7914015461210244,NA,NA,1.0063252553661695,200,200,0,0,1
2,SG,alpha[2],200,200,-6.47354798680529,-0.7192831096450322,0.46,5.0032557139246006,3.0092937642579347,1.9939619496666658,NA,NA,1.0063252553661695,200,200,0,0,1
2,SG,mu[1],200,200,0.02752498656605866,0.02752498656605866,0.94,0.14446092896724205,0.16604037145010653,-0.021579442482864475,NA,NA,1.0063252553661695,200,200,0,0,1
2,SG,mu[2],200,200,0.009724955310584569,0.009724955310584569,0.95,0.14263071676678662,0.14421113022214163,-0.0015804134553550064,NA,NA,1.0063252553661695,200,200,0,0,1
2,SG,omega[1],200,200,-0.38372861439366174,-0.23377353241456517,0.685,0.22253512767075184,0.21510147151483888,0.00743365615591296,NA,NA,1.0063252553661695,200,200,0,0,1
2,SG,omega[2],200,200,-0.4290994652941301,-0.26141417136044265,0.635,0.21655739304956742,0.19532576391400222,0.0212316291355652,NA,NA,1.0063252553661695,200,200,0,0,1
2,SG,phi11,200,200,-0.05889890097867529,-0.1472472524466882,0.945,0.1292207877548789,0.12512868365478466,0.0040921041000942515,NA,NA,1.0063252553661695,200,200,0,0,1
2,SG,phi12,200,200,-0.01568021975333374,-0.15680219753333743,0.95,0.13135844115164994,0.13704590463548336,-0.0056874634838334215,NA,NA,1.0063252553661695,200,200,0,0,1
2,SG,phi21,200,200,0.006284206134425047,0.06284206134425048,0.97,0.127807939782814,0.10926510039012716,0.018542839392686833,NA,NA,1.0063252553661695,200,200,0,0,1
2,SG,phi22,200,200,-0.06774986003352935,-0.1693746500838234,0.95,0.1310684614608428,0.1179971742989323,0.0130712871619105,NA,NA,1.0063252553661695,200,200,0,0,1
2,SG,rho,200,200,-0.047649007855998515,-0.15883002618666173,0.965,0.12591708786253303,0.11088787739017768,0.01502921047235535,NA,NA,1.0063252553661695,200,200,0,0,1
3,NG,mu[1],200,200,-0.004841288674130962,-0.004841288674130962,0.94,0.14680429048212437,0.1521282699806448,-0.005323979498520426,NA,NA,1.0009407427193586,200,200,0,0,1
3,NG,mu[2],200,200,-0.0017491341477633973,-0.0017491341477633973,0.92,0.14601279916406273,0.1585756794323514,-0.012562880268288668,NA,NA,1.0009407427193586,200,200,0,0,1
3,NG,phi11,200,200,-0.07276220684411445,-0.18190551711028613,0.96,0.1380765010359378,0.12448577221154442,0.013590728824393383,NA,NA,1.0009407427193586,200,200,0,0,1
3,NG,phi12,200,200,-0.00800200186094683,-0.0800200186094683,0.97,0.14227988985751924,0.14909494258553632,-0.006815052728017079,NA,NA,1.0009407427193586,200,200,0,0,1
3,NG,phi21,200,200,-0.009272997461370931,-0.09272997461370931,0.965,0.14195164065971672,0.143677607973478,-0.0017259673137612896,NA,NA,1.0009407427193586,200,200,0,0,1
3,NG,phi22,200,200,-0.07642161344114008,-0.1910540336028502,0.98,0.13780492886474985,0.11920018311949403,0.01860474574525582,NA,NA,1.0009407427193586,200,200,0,0,1
3,NG,rho,200,200,-0.09955609946406145,-0.33185366488020485,0.84,0.13023146243350708,0.14398758677860182,-0.013756124345094739,NA,NA,1.0009407427193586,200,200,0,0,1
3,NG,sigma[1],200,200,-0.015367990092951827,-0.015367990092951827,0.635,0.10353611082188265,0.24794892285835224,-0.1444128120364696,NA,NA,1.0009407427193586,200,200,0,0,1
3,NG,sigma[2],200,200,-0.015276396992406328,-0.015276396992406328,0.665,0.10325154913051424,0.24706416258904457,-0.14381261345853033,NA,NA,1.0009407427193586,200,200,0,0,1
3,SG,alpha[1],200,0,NA,NA,NA,38.93352509126397,6.527817686762412,32.405707404501555,NA,NA,1.0084040176360953,200,200,0,0,1
3,SG,alpha[2],200,0,NA,NA,NA,39.991073814898726,7.411364783109455,32.57970903178927,NA,NA,1.0084040176360953,200,200,0,0,1
3,SG,mu[1],200,200,0.19194857432768317,0.19194857432768317,0.54,0.11232025116367557,0.1909521617626384,-0.07863191059896284,NA,NA,1.0084040176360953,200,200,0,0,1
3,SG,mu[2],200,200,0.19518464582711076,0.19518464582711076,0.515,0.11269093944895857,0.19279355995951447,-0.0801026205105559,NA,NA,1.0084040176360953,200,200,0,0,1
3,SG,omega[1],200,0,NA,NA,NA,0.1376892651309242,0.2670122749068089,-0.1293230097758847,NA,NA,1.0084040176360953,200,200,0,0,1
3,SG,omega[2],200,0,NA,NA,NA,0.13779073753733556,0.27104661182820833,-0.13325587429087277,NA,NA,1.0084040176360953,200,200,0,0,1
3,SG,phi11,200,200,-0.02919415695293058,-0.07298539238232644,1,0.06774976727540805,0.039090884343371636,0.02865888293203641,NA,NA,1.0084040176360953,200,200,0,0,1
3,SG,phi12,200,200,-0.009588336678657671,-0.0958833667865767,0.995,0.06659122239322728,0.04375406633443078,0.022837156058796493,NA,NA,1.0084040176360953,200,200,0,0,1
3,SG,phi21,200,200,-0.007039406005462748,-0.07039406005462748,1,0.06690509019050453,0.04131671974798201,0.025588370442522518,NA,NA,1.0084040176360953,200,200,0,0,1
3,SG,phi22,200,200,-0.029616842125159908,-0.07404210531289977,1,0.06809812805685418,0.037325830501191766,0.030772297555662416,NA,NA,1.0084040176360953,200,200,0,0,1
3,SG,rho,200,200,-0.07322025210636808,-0.24406750702122695,0.885,0.10408358775391797,0.10746484830990587,-0.0033812605559878917,NA,NA,1.0084040176360953,200,200,0,0,1
4,NG,mu[1],200,200,-0.01575153258093858,-0.01575153258093858,0.94,0.15062309285277525,0.1672185222953067,-0.01659542944253145,NA,NA,1.0009330676164456,200,200,0,0,1
4,NG,mu[2],200,200,-0.01344385372070883,-0.01344385372070883,0.925,0.14911945646867,0.16260572101496806,-0.01348626454629806,NA,NA,1.0009330676164456,200,200,0,0,1
4,NG,phi11,200,200,-0.06979895989114135,-0.17449739972785336,0.95,0.13949884029737056,0.11630570482547652,0.02319313547189404,NA,NA,1.0009330676164456,200,200,0,0,1
4,NG,phi12,200,200,-0.005116919483846106,-0.05116919483846105,0.96,0.14236933868951646,0.1422759126176402,9.34260718762625e-5,NA,NA,1.0009330676164456,200,200,0,0,1
4,NG,phi21,200,200,-0.005903107171835603,-0.05903107171835603,0.935,0.13961687081314733,0.14695504585849042,-0.007338175045343093,NA,NA,1.0009330676164456,200,200,0,0,1
4,NG,phi22,200,200,-0.09093979698411886,-0.22734949246029715,0.905,0.14006602643076285,0.13676564434188027,0.0033003820888825863,NA,NA,1.0009330676164456,200,200,0,0,1
4,NG,rho,200,200,-0.045894969364844926,-0.15298323121614976,0.95,0.12777358636900402,0.1290871838286247,-0.0013135974596206745,NA,NA,1.0009330676164456,200,200,0,0,1
4,NG,sigma[1],200,200,0.013837732263209243,0.013837732263209243,0.905,0.10633840281539486,0.12168166082587621,-0.01534325801048135,NA,NA,1.0009330676164456,200,200,0,0,1
4,NG,sigma[2],200,200,0.004097032614317426,0.004097032614317426,0.9,0.10539574369694535,0.11512939671151018,-0.00973365301456483,NA,NA,1.0009330676164456,200,200,0,0,1
4,SG,alpha[1],200,200,2.726736863007459,0.6816842157518648,0.5,2.525479202165185,2.0131930421010487,0.5122861600641362,NA,NA,1.0028591392033195,200,200,0,0,1
4,SG,alpha[2],200,200,3.076221823863927,0.7690554559659818,0.405,1.9507985022532537,1.3031452914387842,0.6476532108144695,NA,NA,1.0028591392033195,200,200,0,0,1
4,SG,mu[1],200,200,-0.015533871269510911,-0.015533871269510911,0.93,0.14682337598397385,0.16447884272159738,-0.017655466737623526,NA,NA,1.0028591392033195,200,200,0,0,1
4,SG,mu[2],200,200,-0.012419713591815233,-0.012419713591815233,0.93,0.14627569211048633,0.16014123117136714,-0.01386553906088081,NA,NA,1.0028591392033195,200,200,0,0,1
4,SG,omega[1],200,200,-0.41207485401543487,-0.26088876857007554,0.55,0.1970939331554892,0.19383557293535478,0.0032583602201344264,NA,NA,1.0028591392033195,200,200,0,0,1
4,SG,omega[2],200,200,-0.43908000354383403,-0.27798600257225253,0.475,0.19107174609158484,0.17252250520273127,0.01854924088885357,NA,NA,1.0028591392033195,200,200,0,0,1
4,SG,phi11,200,200,-0.06854627443218858,-0.17136568608047145,0.95,0.13577432726420197,0.1121135151441341,0.02366081212006786,NA,NA,1.0028591392033195,200,200,0,0,1
4,SG,phi12,200,200,-0.0018695156088426915,-0.01869515608842691,0.97,0.13760418701872731,0.1371740412781775,4.301457405498088e-4,NA,NA,1.0028591392033195,200,200,0,0,1
4,SG,phi21,200,200,-0.005346831663116212,-0.053468316631162124,0.935,0.13613033630473828,0.1425300130558927,-0.0063996767511544095,NA,NA,1.0028591392033195,200,200,0,0,1
4,SG,phi22,200,200,-0.08788346486420857,-0.21970866216052143,0.92,0.1366502487056483,0.13271914099824964,0.003931107707398657,NA,NA,1.0028591392033195,200,200,0,0,1
4,SG,rho,200,200,-0.04573326524121871,-0.15244421747072903,0.93,0.1266708691651061,0.1277528944983131,-0.001082025333207004,NA,NA,1.0028591392033195,200,200,0,0,1
5,NG,mu[1],200,200,0.0035356531093776416,0.0035356531093776416,0.955,0.14787146644524674,0.1651251943482169,-0.017253727902970167,NA,NA,1.000937443297843,200,200,0,0,1
5,NG,mu[2],200,200,-0.014462363993321473,-0.014462363993321473,0.925,0.15101950156157423,0.17078234931330843,-0.019762847751734203,NA,NA,1.000937443297843,200,200,0,0,1
5,NG,phi11,200,200,-0.08149992511510841,-0.20374981278777102,0.925,0.13954458594912397,0.13296602909565855,0.006578556853465423,NA,NA,1.000937443297843,200,200,0,0,1
5,NG,phi12,200,200,-0.017710886728546614,-0.17710886728546613,0.945,0.13857703652607642,0.149246570059834,-0.010669533533757575,NA,NA,1.000937443297843,200,200,0,0,1
5,NG,phi21,200,200,-0.015168658405571482,-0.1516865840557148,0.93,0.14339352103684283,0.15335515661543642,-0.009961635578593586,NA,NA,1.000937443297843,200,200,0,0,1
5,NG,phi22,200,200,-0.08797623435047934,-0.21994058587619833,0.91,0.1399236432385131,0.13445455437400386,0.005469088864509253,NA,NA,1.000937443297843,200,200,0,0,1
5,NG,rho,200,200,-0.04580775463063929,-0.1526925154354643,0.935,0.12772062581893204,0.13142289794053952,-0.0037022721216074805,NA,NA,1.000937443297843,200,200,0,0,1
5,NG,sigma[1],200,200,-0.0016592144656752562,-0.0016592144656752562,0.91,0.10474744706797676,0.1165154261873783,-0.011767979119401542,NA,NA,1.000937443297843,200,200,0,0,1
5,NG,sigma[2],200,200,0.020389771250017934,0.020389771250017934,0.885,0.10701312173012902,0.1285035410361985,-0.021490419306069472,NA,NA,1.000937443297843,200,200,0,0,1
5,SG,alpha[1],200,200,6.519444944962943,0.7243827716625492,0.46,4.583056603042011,2.6581795535786674,1.9248770494633436,NA,NA,1.0041466097127132,200,200,0,0,1
5,SG,alpha[2],200,200,6.041824774733595,0.6713138638592884,0.54,5.229831213590295,2.9441365396551666,2.285694673935128,NA,NA,1.0041466097127132,200,200,0,0,1
5,SG,mu[1],200,200,0.0019585206213545594,0.0019585206213545594,0.945,0.14171300229933687,0.16179351091640148,-0.02008050861706462,NA,NA,1.0041466097127132,200,200,0,0,1
5,SG,mu[2],200,200,-0.016689829030562153,-0.016689829030562153,0.915,0.14309824403706953,0.16627679767927583,-0.023178553642206307,NA,NA,1.0041466097127132,200,200,0,0,1
5,SG,omega[1],200,200,-0.43412698819508744,-0.2644770177153048,0.59,0.21583533607633332,0.20339010539040364,0.012445230685929676,NA,NA,1.0041466097127132,200,200,0,0,1
5,SG,omega[2],200,200,-0.38729494434339623,-0.23594619694577992,0.66,0.2206797629444521,0.23351146947354146,-0.012831706529089354,NA,NA,1.0041466097127132,200,200,0,0,1
5,SG,phi11,200,200,-0.0729274809593367,-0.18231870239834172,0.945,0.13126901460452803,0.12333700455307783,0.007932010051450195,NA,NA,1.0041466097127132,200,200,0,0,1
5,SG,phi12,200,200,-0.011889088088323738,-0.11889088088323736,0.94,0.13064509518765302,0.13622306733267628,-0.005577972145023258,NA,NA,1.0041466097127132,200,200,0,0,1
5,SG,phi21,200,200,-0.012247950359785523,-0.12247950359785523,0.945,0.13246728333486837,0.13418923032647,-0.0017219469916016361,NA,NA,1.0041466097127132,200,200,0,0,1
5,SG,phi22,200,200,-0.07431575266074807,-0.18578938165187017,0.93,0.13019229479416244,0.12282959924482208,0.007362695549340367,NA,NA,1.0041466097127132,200,200,0,0,1
5,SG,rho,200,200,-0.047151865045952195,-0.15717288348650732,0.94,0.12525332989686055,0.1283404235960473,-0.0030870936991867493,NA,NA,1.0041466097127132,200,200,0,0,1
6,NG,mu[1],200,200,0.015312991572729018,0.015312991572729018,0.945,0.14665720255393622,0.14038765837666997,0.006269544177266245,NA,NA,1.0009285280202616,200,200,0,0,1
6,NG,mu[2],200,200,0.017808529868618687,0.017808529868618687,0.89,0.14912084937240788,0.17078182777708556,-0.021660978404677678,NA,NA,1.0009285280202616,200,200,0,0,1
6,NG,phi11,200,200,-0.04565505075893703,-0.11413762689734255,0.975,0.13758179581201432,0.1132735235126552,0.024308272299359127,NA,NA,1.0009285280202616,200,200,0,0,1
6,NG,phi12,200,200,-0.017033438490767584,-0.17033438490767583,0.975,0.14296194074363602,0.12692823148528184,0.01603370925835418,NA,NA,1.0009285280202616,200,200,0,0,1
6,NG,phi21,200,200,-0.005498970233386475,-0.05498970233386474,0.95,0.14340042317261015,0.14415058010504433,-7.501569324341872e-4,NA,NA,1.0009285280202616,200,200,0,0,1
6,NG,phi22,200,200,-0.07957432260578558,-0.1989358065144639,0.985,0.13944808503350395,0.11401597084185225,0.0254321141916517,NA,NA,1.0009285280202616,200,200,0,0,1
6,NG,rho,200,200,-0.08333457118100719,-0.27778190393669067,0.885,0.12919609322099612,0.1528219371980549,-0.023625843977058775,NA,NA,1.0009285280202616,200,200,0,0,1
6,NG,sigma[1],200,200,-0.024123899930788423,-0.024123899930788423,0.645,0.10245987235370035,0.21758569453159704,-0.11512582217789669,NA,NA,1.0009285280202616,200,200,0,0,1
6,NG,sigma[2],200,200,-0.0031862583042202284,-0.0031862583042202284,0.53,0.10440848044108635,0.27351392177987016,-0.1691054413387838,NA,NA,1.0009285280202616,200,200,0,0,1
6,SG,alpha[1],200,0,NA,NA,NA,40.934284532621476,7.239210728610515,33.69507380401096,NA,NA,1.0080410072402797,200,200,0,0,1
6,SG,alpha[2],200,0,NA,NA,NA,41.05995016620754,7.05509982133781,34.00485034486973,NA,NA,1.0080410072402797,200,200,0,0,1
6,SG,mu[1],200,200,-0.18801126579293018,-0.18801126579293018,0.56,0.11197159475168751,0.17841987070177873,-0.06644827595009122,NA,NA,1.0080410072402797,200,200,0,0,1
