condition_id,model,param,N_valid,N_truth_avail,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat
1,EG,mu[1],200,200,0.01194655766482676,0.01194655766482676,0.98,0.1474148318574813,0.12868392076337876,0.018730911094102548,0,0,1.0016420790068992
1,EG,mu[2],200,200,0.01153349023398509,0.01153349023398509,0.97,0.14782202241003478,0.13705207684874343,0.01076994556129135,0,0,1.0016420790068992
1,EG,phi11,200,200,-0.011696460311667902,-0.02924115077916975,0.9450000000000001,0.05139376440348,0.05316185799946588,-0.001768093595985877,0,0,1.0016420790068992
1,EG,phi12,200,200,-0.0025646677771923175,-0.025646677771923202,0.9499999999999998,0.048112372869376446,0.0511073917550794,-0.0029950188857029506,0,0,1.0016420790068992
1,EG,phi21,200,200,-0.0035752233902291413,-0.035752233902291417,0.955,0.050838849614701156,0.05145040962925428,-6.115600145531266e-4,0,0,1.0016420790068992
1,EG,phi22,200,200,-0.00968288902655326,-0.024207222566383146,0.96,0.05096611883478195,0.05167781883747815,-7.117000026962e-4,0,0,1.0016420790068992
1,EG,rho,200,200,0.016990349810036796,0.056634499366789305,0.96,0.14636695729778304,0.13699015289682545,0.009376804400957589,0,0,1.0016420790068992
1,EG,sigma_exp[1],200,200,0.07718037064480086,0.07718037064480086,0.9650000000000001,0.1539835081639459,0.13446355910338886,0.01951994906055704,0,0,1.0016420790068992
1,EG,sigma_exp[2],200,200,0.08068263544251197,0.08068263544251197,0.9450000000000001,0.1543899889494883,0.14699710401750168,0.007392884931986615,0,0,1.0016420790068992
1,NG,mu[1],200,200,0.011156997930124143,0.011156997930124143,0.95,0.14807477611520503,0.1580439275605504,-0.009969151445345381,0,0,1.0009812826200166
1,NG,mu[2],200,200,0.010486717727729446,0.010486717727729446,0.9049999999999999,0.15051834709997378,0.1703293304661317,-0.019810983366157914,0,0,1.0009812826200166
